NUMRESERVA,IDESTADIA,IDSERVICIO,IDHORARIO,IDCONSUMO,IDCONVENCION,CAPACIDAD
85,91480,12,115,,,4
86,91481,5,116,,,2
87,91482,6,117,,,1
88,91483,17,118,,,4
89,91484,15,119,,,4
90,91485,6,120,,,4
91,91486,11,121,,,3
92,91487,22,122,,,3
93,91488,8,123,,,1
94,91489,14,124,14,,4
95,91490,12,125,,,2
96,91491,4,126,,,1
97,91492,14,127,,,3
98,91493,14,128,,,3
99,91494,22,129,,,1
100,91495,13,130,,,2
101,91496,17,131,,,3
102,91497,8,132,,,4
103,91498,13,133,14,,1
104,91499,6,134,,,1
105,91500,11,135,,,4
106,91501,17,136,,,2
107,91502,17,137,,,2
108,91503,4,138,,,2
109,91504,20,139,,,2
110,91505,20,140,,,4
111,91506,13,141,,,4
112,91507,5,142,15,,3
113,91508,4,143,,,3
114,91509,20,144,,,4
115,91510,22,145,,,3
116,91511,15,146,,,1
117,91512,12,147,,,4
118,91513,13,148,,,2
119,91514,14,149,,,2
120,91515,11,150,15,,4
121,91516,14,151,,,1
122,91517,22,152,,,3
123,91518,22,153,,,1
124,91519,13,154,15,,1
125,91520,12,155,,,1
126,91521,22,156,,,2
127,91522,11,157,,,1
128,91523,20,158,,,4
129,91524,14,159,,,2
130,91525,18,160,,,1
131,91526,15,161,,,1
132,91527,17,162,,,1
133,91528,22,163,,,2
134,91529,15,164,,,2
135,91530,12,165,,,2
136,91531,17,166,16,,4
137,91532,22,167,,,4
138,91533,4,168,,,3
139,91534,8,169,,,2
140,91535,15,170,16,,3
141,91536,5,171,,,4
142,91537,17,172,15,,4
143,91538,6,173,,,4
144,91539,17,174,,,2
145,91540,18,175,,,1
146,91541,13,176,,,3
147,91542,12,177,,,2
148,91543,17,178,,,1
149,91544,5,179,,,1
150,91545,14,180,,,3
151,91546,17,181,14,,1
152,91547,6,182,,,1
153,91548,22,183,,,3
154,91549,12,184,,,1
155,91550,20,185,,,2
156,91551,14,186,,,4
157,91552,17,187,,,2
158,91553,14,188,,,1
159,91554,13,189,,,1
160,91555,11,190,,,1
161,91556,14,191,,,1
162,91557,8,192,,,4
163,91558,18,193,,,3
164,91559,4,194,,,1
165,91560,5,195,,,3
166,91561,11,196,,,3
167,91562,15,197,,,2
168,91563,15,198,15,,4
169,91564,15,199,,,1
170,91565,14,200,,,1
171,91566,6,201,,,1
172,91567,15,202,,,4
173,91568,6,203,,,3
174,91569,18,204,,,1
175,91570,12,205,,,2
176,91571,15,206,,,4
177,91572,6,207,,,2
178,91573,6,208,,,3
179,91574,4,209,,,3
180,91575,13,210,,,2
181,91576,12,211,,,1
182,91577,6,212,,,2
183,91578,8,213,,,4
184,91579,18,214,,,2
185,91580,18,215,,,3
186,91581,6,216,,,4
187,91582,14,217,,,1
188,91583,13,218,15,,3
189,91584,12,219,,,1
190,91585,18,220,,,4
191,91586,20,221,,,4
192,91587,5,222,,,2
193,91588,18,223,,,2
194,91589,13,224,,,2
195,91590,6,225,16,,1
196,91591,20,226,,,2
197,91592,11,227,,,3
198,91593,14,228,,,2
199,91594,22,229,,,4
200,91595,8,230,,,4
201,91596,8,231,,,3
202,91597,12,232,,,3
203,91598,13,233,16,,2
204,91599,14,234,,,2
205,91600,18,235,,,1
206,91601,14,236,,,2
207,91602,18,237,,,1
208,91603,15,238,,,1
209,91604,13,239,,,2
210,91605,4,240,,,1
211,91606,15,241,,,2
212,91607,15,242,,,3
213,91608,5,243,,,3
214,91609,15,244,,,3
215,91610,5,245,,,2
216,91611,15,246,,,3
217,91612,15,247,,,3
218,91613,18,248,,,3
219,91614,17,249,,,3
220,91615,22,250,,,3
221,91616,13,251,,,3
222,91617,22,252,,,1
223,91618,20,253,,,2
224,91619,17,254,,,1
225,91620,17,255,,,2
226,91621,20,256,,,2
227,91622,17,257,,,3
228,91623,15,258,,,2
229,91624,15,259,,,2
230,91625,12,260,14,,1
231,91626,6,261,,,2
232,91627,12,262,,,2
233,91628,4,263,,,2
234,91629,5,264,14,,2
235,91630,4,265,,,2
236,91631,5,266,,,4
237,91632,22,267,,,1
238,91633,8,268,,,4
239,91634,18,269,,,2
240,91635,11,270,,,3
241,91636,4,271,,,1
242,91637,18,272,15,,4
243,91638,12,273,,,2
244,91639,6,274,,,1
245,91640,4,275,,,3
246,91641,4,276,14,,2
247,91642,14,277,14,,1
248,91643,12,278,,,1
249,91644,8,279,15,,1
250,91645,4,280,,,2
251,91646,14,281,,,3
252,91647,22,282,,,1
253,91648,22,283,,,3
254,91649,8,284,,,1
255,91650,12,285,,,1
256,91651,11,286,,,3
257,91652,12,287,,,4
258,91653,13,288,,,3
259,91654,11,289,,,1
260,91655,4,290,,,4
261,91656,15,291,,,1
262,91657,13,292,,,3
263,91658,6,293,,,4
264,91659,22,294,,,3
265,91660,20,295,,,3
266,91661,12,296,,,4
267,91662,13,297,,,2
268,91663,6,298,,,2
269,91664,17,299,,,2
270,91665,13,300,,,1
271,91666,18,301,,,2
272,91667,13,302,,,4
273,91668,5,303,,,1
274,91669,18,304,,,1
275,91670,6,305,,,4
276,91671,8,306,,,4
277,91672,20,307,,,1
278,91673,12,308,,,1
279,91674,11,309,,,3
280,91675,6,310,14,,2
281,91676,22,311,,,1
282,91677,12,312,,,1
283,91678,20,313,,,4
284,91679,5,314,,,2
285,91680,4,315,,,4
286,91681,5,316,,,2
287,91682,4,317,,,4
288,91683,22,318,14,,3
289,91684,11,319,,,4
290,91685,14,320,14,,2
291,91686,18,321,,,4
292,91687,22,322,,,2
293,91688,12,323,,,4
294,91689,20,324,14,,3
295,91690,17,325,,,3
296,91691,11,326,,,1
297,91692,14,327,,,4
298,91693,13,328,,,2
299,91694,4,329,,,1
300,91695,11,330,,,1
301,91696,5,331,,,4
302,91697,20,332,,,3
303,91698,17,333,,,1
304,91699,6,334,,,3
305,91700,4,335,,,2
306,91701,13,336,,,3
307,91702,11,337,,,1
308,91703,6,338,,,2
309,91704,12,339,,,2
310,91705,12,340,,,4
311,91706,11,341,,,2
312,91707,5,342,,,3
313,91708,20,343,,,1
314,91709,11,344,,,4
315,91710,8,345,14,,3
316,91711,8,346,,,2
317,91712,22,347,,,3
318,91713,15,348,,,3
319,91714,20,349,,,1
320,91715,11,350,,,1
321,91716,11,351,,,4
322,91717,20,352,,,1
323,91718,13,353,,,2
324,91719,12,354,,,4
325,91720,20,355,,,3
326,91721,15,356,,,2
327,91722,14,357,,,3
328,91723,18,358,,,2
329,91724,14,359,,,2
330,91725,18,360,,,3
331,91726,13,361,15,,4
332,91727,18,362,,,3
333,91728,5,363,,,4
334,91729,11,364,15,,3
335,91730,6,365,,,4
336,91731,17,366,,,3
337,91732,11,367,,,4
338,91733,11,368,,,1
339,91734,15,369,,,4
340,91735,18,370,,,2
341,91736,8,371,,,3
342,91737,4,372,,,2
343,91738,11,373,,,2
344,91739,12,374,,,2
345,91740,6,375,,,3
346,91741,17,376,,,4
347,91742,11,377,,,1
348,91743,5,378,,,3
349,91744,20,379,,,1
350,91745,13,380,,,1
351,91746,18,381,,,1
352,91747,4,382,,,2
353,91748,6,383,14,,4
354,91749,14,384,,,4
355,91750,11,385,,,3
356,91751,15,386,,,2
357,91752,17,387,,,3
358,91753,6,388,,,2
359,91754,4,389,,,3
360,91755,8,390,,,4
361,91756,11,391,,,4
362,91757,11,392,,,2
363,91758,5,393,,,1
364,91759,17,394,,,4
365,91760,14,395,,,3
366,91761,22,396,,,4
367,91762,8,397,,,1
368,91763,22,398,14,,1
369,91764,11,399,,,2
370,91765,4,400,,,3
371,91766,11,401,,,4
372,91767,17,402,,,4
373,91768,20,403,,,2
374,91769,11,404,,,4
375,91770,15,405,,,2
376,91771,20,406,,,3
377,91772,4,407,,,4
378,91773,4,408,,,3
379,91774,13,409,,,2
380,91775,14,410,,,1
381,91776,8,411,,,4
382,91777,6,412,,,2
383,91778,18,413,,,3
384,91779,11,414,,,4
385,91780,20,415,,,2
386,91781,20,416,,,4
387,91782,14,417,,,1
388,91783,14,418,,,1
389,91784,20,419,,,3
390,91785,15,420,,,4
391,91786,17,421,,,2
392,91787,13,422,,,1
393,91788,17,423,,,2
394,91789,18,424,,,2
395,91790,5,425,,,2
396,91791,15,426,,,1
397,91792,8,427,15,,1
398,91793,4,428,,,2
399,91794,14,429,,,3
400,91795,14,430,16,,1
401,91796,22,431,,,4
402,91797,22,432,,,3
403,91798,5,433,,,4
404,91799,8,434,,,1
405,91800,13,435,,,4
406,91801,11,436,15,,3
407,91802,15,437,,,1
408,91803,5,438,,,4
409,91804,11,439,,,4
410,91805,17,440,,,1
411,91806,22,441,,,1
412,91807,11,442,16,,3
413,91808,8,443,14,,1
414,91809,14,444,,,2
415,91810,17,445,,,1
416,91811,5,446,,,4
417,91812,18,447,,,1
418,91813,18,448,,,2
419,91814,13,449,,,1
420,91815,17,450,,,4
421,91816,20,451,,,2
422,91817,20,452,,,1
423,91818,22,453,,,1
424,91819,8,454,,,3
425,91820,22,455,,,1
426,91821,12,456,,,2
427,91822,14,457,,,4
428,91823,13,458,,,4
429,91824,5,459,,,1
430,91825,17,460,,,2
431,91826,13,461,,,4
432,91827,18,462,,,3
433,91828,14,463,15,,2
434,91829,8,464,,,4
435,91830,22,465,,,3
436,91831,8,466,,,1
437,91832,11,467,,,3
438,91833,5,468,,,1
439,91834,20,469,,,4
440,91835,11,470,,,1
441,91836,22,471,,,3
442,91837,5,472,,,1
443,91838,15,473,,,4
444,91839,15,474,,,3
445,91840,6,475,,,3
446,91841,18,476,,,1
447,91842,5,477,,,2
448,91843,20,478,,,4
449,91844,4,479,,,2
450,91845,6,480,,,2
451,91846,5,481,,,2
452,91847,6,482,,,2
453,91848,8,483,,,2
454,91849,6,484,,,2
455,91850,18,485,,,1
456,91851,22,486,,,4
457,91852,6,487,,,2
458,91853,4,488,,,2
459,91854,11,489,,,4
460,91855,13,490,,,2
461,91856,15,491,,,1
462,91857,6,492,,,3
463,91858,22,493,,,4
464,91859,20,494,,,2
465,91860,8,495,,,2
466,91861,20,496,,,3
467,91862,20,497,,,4
468,91863,8,498,,,2
469,91864,15,499,,,4
470,91865,20,500,,,3
471,91866,13,501,,,3
472,91867,15,502,,,4
473,91868,13,503,,,4
474,91869,11,504,,,3
475,91870,17,505,,,2
476,91871,5,506,,,2
477,91872,4,507,,,1
478,91873,4,508,,,1
479,91874,4,509,,,4
480,91875,22,510,,,3
481,91876,12,511,,,1
482,91877,22,512,,,1
483,91878,22,513,,,2
484,91879,15,514,,,1
485,91880,22,515,,,2
486,91881,18,516,,,3
487,91882,5,517,,,3
488,91883,8,518,,,1
489,91884,15,519,,,1
490,91885,20,520,,,3
491,91886,5,521,,,1
492,91887,22,522,,,4
493,91888,4,523,,,4
494,91889,12,524,,,1
495,91890,22,525,,,4
496,91891,18,526,,,3
497,91892,18,527,,,2
498,91893,6,528,,,2
499,91894,18,529,,,3
500,91895,4,530,,,2
501,91896,22,531,,,4
502,91897,20,532,,,4
503,91898,18,533,,,3
504,91899,14,534,,,1
505,91900,13,535,,,2
506,91901,15,536,16,,3
507,91902,17,537,,,4
508,91903,12,538,,,1
509,91904,14,539,,,2
510,91905,11,540,,,4
511,91906,11,541,,,3
512,91907,13,542,,,1
513,91908,8,543,,,2
514,91909,5,544,14,,4
515,91910,17,545,,,1
516,91911,17,546,,,3
517,91912,5,547,,,4
518,91913,4,548,,,2
519,91914,4,549,,,4
520,91915,11,550,,,4
521,91916,20,551,,,1
522,91917,4,552,,,3
523,91918,14,553,,,2
524,91919,22,554,,,4
525,91920,8,555,,,4
526,91921,14,556,,,2
527,91922,8,557,,,4
528,91923,17,558,,,3
529,91924,15,559,,,1
530,91925,20,560,,,3
531,91926,12,561,,,2
532,91927,6,562,,,3
533,91928,14,563,,,3
534,91929,14,564,,,4
535,91930,18,565,,,3
536,91931,6,566,,,2
537,91932,12,567,,,2
538,91933,8,568,,,1
539,91934,12,569,,,3
540,91935,13,570,,,3
541,91936,12,571,,,1
542,91937,12,572,,,2
543,91938,22,573,,,3
544,91939,12,574,,,3
545,91940,8,575,,,3
546,91941,13,576,,,2
547,91942,13,577,,,3
548,91943,22,578,,,1
549,91944,11,579,,,4
550,91945,22,580,,,1
551,91946,18,581,,,2
552,91947,12,582,,,2
553,91948,14,583,,,4
554,91949,17,584,,,1
555,91950,22,585,,,2
556,91951,8,586,,,1
557,91952,17,587,,,4
558,91953,17,588,,,4
559,91954,18,589,,,2
560,91955,22,590,,,1
561,91956,8,591,,,3
562,91957,4,592,,,2
563,91958,20,593,,,3
564,91959,14,594,,,2
565,91960,5,595,,,3
566,91961,14,596,,,1
567,91962,8,597,,,4
568,91963,5,598,16,,3
569,91964,11,599,,,1
570,91965,20,600,,,3
571,91966,4,601,,,3
572,91967,14,602,,,1
573,91968,6,603,,,1
574,91969,14,604,16,,2
575,91970,11,605,,,1
576,91971,14,606,,,2
577,91972,5,607,,,4
578,91973,17,608,,,3
579,91974,22,609,,,1
580,91975,20,610,,,1
581,91976,20,611,,,4
582,91977,15,612,,,2
583,91978,17,613,,,4
584,91979,17,614,,,1
585,91980,6,615,,,4
586,91981,17,616,,,2
587,91982,22,617,,,4
588,91983,12,618,,,4
589,91984,20,619,,,1
590,91985,20,620,,,2
591,91986,4,621,,,3
592,91987,11,622,,,4
593,91988,4,623,,,1
594,91989,11,624,,,2
595,91990,11,625,,,2
596,91991,12,626,,,1
597,91992,11,627,,,4
598,91993,6,628,,,4
599,91994,18,629,,,2
600,91995,22,630,,,2
601,91996,22,631,,,3
602,91997,22,632,,,4
603,91998,18,633,,,2
604,91999,8,634,,,4
605,92000,5,635,,,1
606,92001,20,636,,,2
607,92002,22,637,,,4
608,92003,15,638,,,2
609,92004,11,639,14,,1
610,92005,18,640,,,2
611,92006,14,641,,,2
612,92007,12,642,,,4
613,92008,6,643,,,4
614,92009,6,644,,,4
615,92010,4,645,,,2
616,92011,6,646,,,3
617,92012,22,647,,,1
618,92013,22,648,,,4
619,92014,18,649,,,3
620,92015,14,650,,,1
621,92016,13,651,,,2
622,92017,15,652,,,2
623,92018,6,653,,,4
624,92019,6,654,,,2
625,92020,11,655,,,4
626,92021,15,656,,,3
627,92022,5,657,,,3
628,92023,14,658,,,3
629,92024,14,659,,,1
630,92025,15,660,15,,2
631,92026,12,661,,,2
632,92027,20,662,,,4
633,92028,22,663,,,1
634,92029,5,664,,,3
635,92030,22,665,,,4
636,92031,5,666,,,4
637,92032,8,667,,,3
638,92033,12,668,,,1
639,92034,12,669,16,,4
640,92035,18,670,,,1
641,92036,13,671,,,3
642,92037,15,672,,,4
643,92038,11,673,,,4
644,92039,8,674,,,4
645,92040,8,675,,,1
646,92041,14,676,,,1
647,92042,11,677,,,3
648,92043,17,678,,,2
649,92044,13,679,,,4
650,92045,8,680,,,1
651,92046,14,681,,,3
652,92047,8,682,,,2
653,92048,15,683,,,4
654,92049,17,684,14,,4
655,92050,17,685,,,2
656,92051,20,686,,,3
657,92052,13,687,,,4
658,92053,17,688,,,3
659,92054,14,689,14,,1
660,92055,18,690,,,3
661,92056,8,691,,,3
662,92057,12,692,,,2
663,92058,4,693,,,4
664,92059,4,694,,,3
665,92060,22,695,,,4
666,92061,8,696,,,1
667,92062,18,697,16,,4
668,92063,22,698,,,3
669,92064,11,699,,,1
670,92065,17,700,,,4
671,92066,14,701,,,2
672,92067,20,702,,,4
673,92068,20,703,,,2
674,92069,5,704,,,2
675,92070,18,705,,,4
676,92071,13,706,15,,2
677,92072,11,707,,,3
678,92073,13,708,,,2
679,92074,8,709,,,4
680,92075,5,710,,,4
681,92076,12,711,,,2
682,92077,17,712,,,3
683,92078,14,713,,,2
684,92079,15,714,,,1
685,92080,20,715,,,1
686,92081,11,716,,,1
687,92082,6,717,,,2
688,92083,20,718,,,4
689,92084,4,719,,,4
690,92085,13,720,,,3
691,92086,6,721,,,2
692,92087,12,722,,,3
693,92088,15,723,,,4
694,92089,22,724,,,4
695,92090,11,725,14,,1
696,92091,13,726,,,1
697,92092,22,727,,,1
698,92093,15,728,,,3
699,92094,13,729,,,1
700,92095,13,730,,,1
701,92096,17,731,,,2
702,92097,11,732,14,,3
703,92098,22,733,16,,4
704,92099,13,734,16,,3
705,92100,4,735,,,1
706,92101,20,736,16,,3
707,92102,8,737,,,3
708,92103,18,738,,,4
709,92104,18,739,,,1
710,92105,13,740,,,2
711,92106,12,741,,,4
712,92107,15,742,,,4
713,92108,17,743,,,4
714,92109,11,744,,,1
715,92110,11,745,,,2
716,92111,17,746,,,1
717,92112,4,747,,,2
718,92113,12,748,,,1
719,92114,15,749,,,1
720,92115,15,750,,,3
721,92116,18,751,,,3
722,92117,11,752,,,3
723,92118,6,753,,,2
724,92119,17,754,,,2
725,92120,4,755,,,2
726,92121,22,756,16,,2
727,92122,11,757,,,4
728,92123,4,758,,,4
729,92124,15,759,,,3
730,92125,6,760,,,4
731,92126,14,761,,,4
732,92127,11,762,,,1
733,92128,8,763,,,3
734,92129,5,764,,,4
735,92130,15,765,,,2
736,92131,5,766,,,2
737,92132,20,767,,,1
738,92133,8,768,,,4
739,92134,12,769,,,2
740,92135,20,770,,,4
741,92136,18,771,15,,4
742,92137,11,772,,,4
743,92138,6,773,,,4
744,92139,22,774,,,1
745,92140,20,775,14,,3
746,92141,20,776,,,1
747,92142,22,777,,,2
748,92143,20,778,,,1
749,92144,17,779,15,,3
750,92145,6,780,,,3
751,92146,12,781,,,4
752,92147,14,782,,,4
753,92148,15,783,,,1
754,92149,18,784,,,3
755,92150,15,785,14,,3
756,92151,14,786,14,,1
757,92152,11,787,,,4
758,92153,22,788,,,1
759,92154,20,789,,,2
760,92155,20,790,,,1
761,92156,17,791,,,1
762,92157,4,792,,,4
763,92158,13,793,,,3
764,92159,20,794,,,4
765,92160,14,795,14,,1
766,92161,17,796,,,3
767,92162,12,797,,,3
768,92163,6,798,,,4
769,92164,6,799,,,1
770,92165,15,800,,,3
771,92166,6,801,,,2
772,92167,4,802,,,4
773,92168,20,803,,,4
774,92169,22,804,,,1
775,92170,12,805,,,3
776,92171,4,806,,,1
777,92172,17,807,15,,3
778,92173,4,808,,,4
779,92174,14,809,,,3
780,92175,17,810,,,4
781,92176,5,811,,,4
782,92177,8,812,,,3
783,92178,6,813,,,4
784,92179,15,814,,,1
785,92180,14,815,,,2
786,92181,5,816,,,4
787,92182,20,817,,,1
788,92183,6,818,,,1
789,92184,17,819,,,3
790,92185,20,820,,,1
791,92186,18,821,16,,1
792,92187,20,822,,,1
793,92188,6,823,,,1
794,92189,22,824,,,3
795,92190,22,825,,,1
796,92191,20,826,,,2
797,92192,8,827,,,3
798,92193,22,828,,,4
799,92194,15,829,,,4
800,92195,8,830,,,2
801,92196,11,831,,,3
802,92197,6,832,,,3
803,92198,18,833,,,3
804,92199,13,834,,,3
805,92200,12,835,,,4
806,92201,18,836,,,4
807,92202,13,837,,,4
808,92203,20,838,,,1
809,92204,22,839,16,,3
810,92205,20,840,,,4
811,92206,20,841,,,2
812,92207,8,842,,,4
813,92208,11,843,,,1
814,92209,6,844,,,1
815,92210,11,845,,,1
816,92211,8,846,,,4
817,92212,13,847,,,2
818,92213,6,848,,,4
819,92214,20,849,,,2
820,92215,14,850,,,1
821,92216,17,851,,,4
822,92217,22,852,,,1
823,92218,12,853,,,1
824,92219,17,854,,,2
825,92220,8,855,,,4
826,92221,17,856,,,2
827,92222,8,857,,,4
828,92223,20,858,,,3
829,92224,14,859,16,,2
830,92225,13,860,,,3
831,92226,11,861,,,2
832,92227,14,862,,,2
833,92228,15,863,,,1
834,92229,5,864,,,3
835,92230,8,865,,,1
836,92231,12,866,,,4
837,92232,13,867,,,2
838,92233,13,868,,,2
839,92234,4,869,,,1
840,92235,6,870,16,,2
841,92236,20,871,,,4
842,92237,8,872,,,4
843,92238,20,873,,,2
844,92239,15,874,,,4
845,92240,5,875,,,2
846,92241,11,876,,,4
847,92242,8,877,14,,3
848,92243,22,878,14,,3
849,92244,15,879,,,1
850,92245,17,880,,,4
851,92246,14,881,,,2
852,92247,12,882,14,,3
853,92248,13,883,,,4
854,92249,5,884,,,2
855,92250,15,885,,,3
856,92251,6,886,,,1
857,92252,4,887,,,1
858,92253,22,888,,,1
859,92254,22,889,,,4
860,92255,13,890,,,3
861,92256,20,891,,,3
862,92257,11,892,,,2
863,92258,22,893,,,2
864,92259,13,894,,,3
865,92260,15,895,,,4
866,92261,17,896,,,3
867,92262,12,897,,,4
868,92263,18,898,,,3
869,92264,13,899,,,4
870,92265,11,900,15,,4
871,92266,18,901,,,2
872,92267,12,902,,,4
873,92268,22,903,,,2
874,92269,12,904,,,1
875,92270,14,905,,,2
876,92271,17,906,,,3
877,92272,22,907,,,1
878,92273,22,908,,,1
879,92274,17,909,,,1
880,92275,15,910,15,,4
881,92276,17,911,,,1
882,92277,22,912,,,4
883,92278,20,913,,,1
884,92279,20,914,,,3
885,92280,18,915,,,4
886,92281,17,916,15,,1
887,92282,18,917,,,4
888,92283,13,918,,,1
889,92284,20,919,,,4
890,92285,15,920,,,2
891,92286,14,921,16,,4
892,92287,18,922,,,1
893,92288,18,923,,,4
894,92289,6,924,,,1
895,92290,20,925,,,4
896,92291,8,926,15,,4
897,92292,17,927,,,3
898,92293,17,928,,,4
899,92294,6,929,,,1
900,92295,17,930,,,2
901,92296,11,931,,,1
902,92297,14,932,,,1
903,92298,11,933,,,3
904,92299,14,934,,,4
905,92300,13,935,,,3
906,92301,11,936,,,1
907,92302,8,937,,,1
908,92303,22,938,,,4
909,92304,18,939,,,1
910,92305,20,940,,,2
911,92306,5,941,,,4
912,92307,5,942,14,,2
913,92308,6,943,,,4
914,92309,22,944,,,1
915,92310,20,945,,,1
916,92311,14,946,15,,1
917,92312,20,947,,,2
918,92313,4,948,,,4
919,92314,13,949,,,3
920,92315,8,950,,,1
921,92316,13,951,,,1
922,92317,5,952,,,4
923,92318,14,953,,,1
924,92319,5,954,,,2
925,92320,22,955,,,3
926,92321,14,956,,,1
927,92322,20,957,,,1
928,92323,11,958,,,3
929,92324,5,959,16,,4
930,92325,20,960,,,4
931,92326,13,961,,,2
932,92327,6,962,,,1
933,92328,17,963,,,1
934,92329,20,964,,,1
935,92330,17,965,,,4
936,92331,20,966,,,1
937,92332,12,967,,,2
938,92333,8,968,,,4
939,92334,4,969,,,4
940,92335,12,970,,,2
941,92336,4,971,,,1
942,92337,12,972,,,1
943,92338,18,973,,,2
944,92339,13,974,,,2
945,92340,8,975,,,2
946,92341,15,976,,,1
947,92342,8,977,,,3
948,92343,20,978,,,1
949,92344,4,979,,,2
950,92345,11,980,,,2
951,92346,13,981,,,4
952,92347,5,982,,,2
953,92348,20,983,,,1
954,92349,15,984,,,2
955,92350,8,985,16,,3
956,92351,4,986,,,1
957,92352,17,987,,,2
958,92353,12,988,,,3
959,92354,14,989,,,2
960,92355,20,990,,,3
961,92356,13,991,,,1
962,92357,5,992,,,4
963,92358,20,993,,,1
964,92359,22,994,,,1
965,92360,18,995,,,2
966,92361,15,996,,,2
967,92362,13,997,,,1
968,92363,14,998,,,4
969,92364,4,999,,,4
970,92365,20,1000,15,,4
971,92366,8,1001,,,1
972,92367,14,1002,,,2
973,92368,8,1003,,,1
974,92369,8,1004,,,2
975,92370,8,1005,,,3
976,92371,14,1006,,,2
977,92372,22,1007,,,2
978,92373,15,1008,,,2
979,92374,20,1009,,,1
980,92375,6,1010,,,2
981,92376,22,1011,,,3
982,92377,11,1012,,,3
983,92378,5,1013,,,3
984,92379,14,1014,,,4
985,92380,22,1015,,,1
986,92381,17,1016,,,4
987,92382,4,1017,,,2
988,92383,12,1018,,,2
989,92384,4,1019,,,3
990,92385,11,1020,,,3
991,92386,15,1021,,,3
992,92387,8,1022,,,1
993,92388,22,1023,,,3
994,92389,6,1024,,,1
995,92390,4,1025,,,1
996,92391,15,1026,,,3
997,92392,6,1027,,,3
998,92393,20,1028,,,4
999,92394,13,1029,,,2
1000,92395,11,1030,16,,1
1001,92396,13,1031,,,3
1002,92397,13,1032,15,,3
1003,92398,20,1033,,,1
1004,92399,14,1034,,,2
1005,92400,5,1035,,,4
1006,92401,11,1036,,,3
1007,92402,8,1037,,,1
1008,92403,6,1038,,,1
1009,92404,12,1039,,,1
1010,92405,20,1040,,,3
1011,92406,6,1041,,,2
1012,92407,8,1042,,,3
1013,92408,4,1043,,,3
1014,92409,11,1044,,,1
1015,92410,5,1045,,,1
1016,92411,17,1046,,,3
1017,92412,20,1047,,,2
1018,92413,11,1048,,,4
1019,92414,6,1049,,,3
1020,92415,14,1050,,,2
1021,92416,12,1051,,,2
1022,92417,6,1052,,,3
1023,92418,22,1053,,,2
1024,92419,17,1054,,,4
1025,92420,13,1055,,,2
1026,92421,20,1056,,,3
1027,92422,11,1057,,,3
1028,92423,15,1058,,,4
1029,92424,12,1059,,,3
1030,92425,15,1060,,,2
1031,92426,15,1061,,,2
1032,92427,6,1062,,,3
1033,92428,15,1063,,,1
1034,92429,15,1064,,,1
1035,92430,15,1065,,,3
1036,92431,15,1066,,,2
1037,92432,14,1067,,,4
1038,92433,14,1068,,,2
1039,92434,8,1069,,,2
1040,92435,15,1070,,,2
1041,92436,20,1071,,,4
1042,92437,17,1072,,,3
1043,92438,6,1073,,,3
1044,92439,18,1074,,,1
1045,92440,8,1075,,,1
1046,92441,5,1076,,,1
1047,92442,18,1077,,,3
1048,92443,14,1078,,,2
1049,92444,13,1079,,,3
1050,92445,22,1080,,,1
1051,92446,11,1081,,,4
1052,92447,4,1082,,,3
1053,92448,17,1083,,,4
1054,92449,13,1084,,,3
1055,92450,6,1085,,,4
