IDESTADIA,FECHALLEGADA,FECHASALIDA,NUMEROPERSONAS,IDPLAN,IDHABITACION,PAGADO,CHECKIN,IDCLIENTE,IDCONVENCION
109,19/04/2024,04/05/2024,4,73,249,0,0,"",73
110,17/09/2024,05/10/2024,1,74,134,0,0,"",74
111,25/06/2024,08/07/2024,3,75,42,0,0,"",75
112,20/02/2024,07/03/2024,1,76,225,0,0,"",76
113,08/12/2024,12/12/2024,4,77,25,0,0,"",77
114,04/09/2024,22/09/2024,4,78,142,1,1,1000001068,78
115,23/12/2024,06/01/2025,3,79,114,1,1,1000001069,79
116,13/05/2024,19/05/2024,2,80,159,1,1,1000001070,80
117,18/12/2024,26/12/2024,2,81,233,0,0,"",81
118,12/01/2024,15/01/2024,4,82,47,1,1,1000001072,82
119,06/05/2024,12/05/2024,3,83,270,0,0,"",83
120,30/01/2024,18/02/2024,3,84,212,1,1,1000001074,84
121,13/12/2024,17/12/2024,1,85,289,1,1,1000001075,85
122,19/08/2024,01/09/2024,4,86,109,0,0,"",86
123,03/06/2024,15/06/2024,4,87,156,0,0,"",87
124,20/11/2024,04/12/2024,1,88,195,0,0,"",88
125,04/10/2024,14/10/2024,4,89,117,0,0,"",89
126,12/12/2024,01/01/2025,3,90,254,0,0,"",90
127,30/09/2024,14/10/2024,1,91,276,1,1,1000001081,91
128,19/02/2024,07/03/2024,4,92,223,0,0,"",92
129,06/05/2024,15/05/2024,2,93,3,0,0,"",93
130,25/07/2024,30/07/2024,1,94,1,1,1,1000001084,94
131,17/10/2024,26/10/2024,4,95,281,0,0,"",95
132,18/01/2024,01/02/2024,2,96,99,1,1,1000001086,96
133,20/02/2024,07/03/2024,1,97,97,1,1,1000001087,97
134,04/05/2024,08/05/2024,1,98,95,0,0,"",98
135,25/02/2024,12/03/2024,2,99,130,1,1,1000001089,99
136,04/02/2024,22/02/2024,1,100,122,0,0,"",100
137,16/02/2024,22/02/2024,4,101,83,0,0,"",101
138,09/10/2024,14/10/2024,2,102,223,0,0,"",102
139,24/06/2024,28/06/2024,4,103,66,1,1,1000001093,103
140,11/09/2024,30/09/2024,4,104,146,0,0,"",104
141,23/03/2024,09/04/2024,4,105,299,1,1,1000001095,105
142,04/02/2024,24/02/2024,1,106,62,1,1,1000001096,106
143,03/12/2024,06/12/2024,3,107,171,0,0,"",107
144,21/03/2024,30/03/2024,3,108,192,1,1,1000001098,108
145,09/12/2024,24/12/2024,3,109,199,1,1,1000001099,109
146,28/02/2024,17/03/2024,4,110,65,1,1,1000001100,110
147,21/08/2024,27/08/2024,3,111,201,0,0,"",111
148,04/05/2024,08/05/2024,2,112,104,0,0,"",112
149,29/09/2024,05/10/2024,4,113,289,0,0,"",113
150,16/06/2024,30/06/2024,4,114,143,0,0,"",114
151,03/02/2024,22/02/2024,1,115,64,0,0,"",115
152,10/04/2024,30/04/2024,1,116,51,1,1,1000001106,116
153,07/04/2024,13/04/2024,4,117,232,0,0,"",117
154,12/11/2024,28/11/2024,3,118,172,1,1,1000001108,118
155,05/05/2024,18/05/2024,2,119,265,0,0,"",119
156,24/05/2024,10/06/2024,1,120,299,0,0,"",120
157,05/07/2024,09/07/2024,2,121,295,1,1,1000001111,121
158,09/09/2024,22/09/2024,3,122,169,1,1,1000001112,122
159,09/01/2024,13/01/2024,4,123,7,1,1,1000001113,123
160,24/08/2024,27/08/2024,3,124,251,1,1,1000001114,124
161,13/01/2024,22/01/2024,2,125,288,0,0,"",125
162,03/04/2024,08/04/2024,4,126,287,0,0,"",126
163,21/06/2024,01/07/2024,3,127,109,0,0,"",127
164,25/11/2024,06/12/2024,3,128,63,0,0,"",128
165,25/03/2024,14/04/2024,3,129,170,1,1,1000001119,129
166,01/08/2024,18/08/2024,2,130,223,0,0,"",130
167,01/03/2024,12/03/2024,4,131,75,0,0,"",131
168,14/04/2024,18/04/2024,3,132,181,1,1,1000001122,132
169,02/03/2024,08/03/2024,2,133,21,1,1,1000001123,133
170,17/12/2024,24/12/2024,1,134,44,0,0,"",134
171,30/09/2024,14/10/2024,4,135,205,0,0,"",135
172,07/09/2024,18/09/2024,1,136,143,1,1,1000001126,136
173,28/01/2024,16/02/2024,2,137,164,1,1,1000001127,137
174,19/11/2024,05/12/2024,3,138,274,0,0,"",138
175,16/08/2024,19/08/2024,1,139,157,1,1,1000001129,139
176,13/05/2024,02/06/2024,3,140,129,0,0,"",140
177,10/02/2024,13/02/2024,3,141,208,0,0,"",141
178,03/08/2024,11/08/2024,2,142,163,1,1,1000001132,142
179,25/09/2024,15/10/2024,4,143,62,0,0,"",143
180,24/10/2024,07/11/2024,4,144,193,0,0,"",144
181,01/07/2024,16/07/2024,2,145,150,1,1,1000001135,145
182,29/06/2024,06/07/2024,2,146,26,0,0,"",146
183,30/08/2024,18/09/2024,4,147,270,1,1,1000001137,147
184,17/05/2024,26/05/2024,2,148,1,0,0,"",148
185,22/04/2024,11/05/2024,3,149,212,0,0,"",149
186,16/05/2024,04/06/2024,2,150,266,1,1,1000001140,150
187,02/10/2024,21/10/2024,1,151,239,1,1,1000001141,151
188,06/02/2024,18/02/2024,4,152,182,1,1,1000001142,152
189,30/10/2024,08/11/2024,3,153,144,1,1,1000001143,153
190,04/04/2024,07/04/2024,3,154,165,0,0,"",154
191,17/09/2024,21/09/2024,2,155,133,1,1,1000001145,155
192,27/06/2024,30/06/2024,2,156,140,0,0,"",156
193,25/06/2024,28/06/2024,4,157,268,1,1,1000001147,157
194,30/07/2024,09/08/2024,2,158,268,0,0,"",158
195,18/08/2024,30/08/2024,4,159,299,0,0,"",159
196,02/11/2024,11/11/2024,3,160,297,1,1,1000001150,160
197,27/01/2024,11/02/2024,3,161,264,1,1,1000001151,161
198,11/06/2024,30/06/2024,2,162,232,1,1,1000001152,162
199,09/11/2024,23/11/2024,1,163,275,0,0,"",163
200,27/02/2024,09/03/2024,1,164,270,1,1,1000001154,164
201,23/05/2024,28/05/2024,1,165,256,0,0,"",165
202,19/12/2024,27/12/2024,2,166,69,0,0,"",166
203,26/09/2024,30/09/2024,2,167,291,0,0,"",167
204,25/08/2024,11/09/2024,2,168,193,1,1,1000001158,168
205,27/04/2024,11/05/2024,4,169,218,1,1,1000001159,169
206,04/04/2024,08/04/2024,1,170,3,0,0,"",170
207,24/04/2024,03/05/2024,1,171,145,1,1,1000001161,171
208,03/02/2024,10/02/2024,4,172,80,1,1,1000001162,172
209,03/04/2024,15/04/2024,3,173,197,0,0,"",173
210,05/06/2024,25/06/2024,1,174,16,1,1,1000001164,174
211,21/04/2024,09/05/2024,4,175,225,0,0,"",175
212,25/01/2024,04/02/2024,2,176,286,0,0,"",176
213,28/06/2024,02/07/2024,4,177,105,0,0,"",177
214,09/02/2024,22/02/2024,1,178,185,1,1,1000001168,178
215,10/09/2024,28/09/2024,3,179,262,1,1,1000001169,179
216,21/08/2024,30/08/2024,4,180,51,1,1,1000001170,180
217,15/10/2024,20/10/2024,4,181,276,1,1,1000001171,181
218,20/08/2024,03/09/2024,3,182,185,1,1,1000001172,182
219,28/08/2024,13/09/2024,3,183,298,0,0,"",183
220,10/07/2024,23/07/2024,2,184,82,1,1,1000001174,184
221,28/09/2024,02/10/2024,2,185,70,0,0,"",185
222,17/11/2024,28/11/2024,1,186,251,1,1,1000001176,186
223,18/07/2024,28/07/2024,2,187,208,0,0,"",187
224,28/06/2024,11/07/2024,2,188,274,1,1,1000001178,188
225,09/01/2024,17/01/2024,3,189,61,1,1,1000001179,189
226,20/02/2024,03/03/2024,3,190,297,0,0,"",190
227,16/05/2024,22/05/2024,2,191,105,1,1,1000001181,191
228,31/10/2024,13/11/2024,4,192,194,0,0,"",192
229,12/10/2024,29/10/2024,2,193,129,1,1,1000001183,193
230,09/06/2024,28/06/2024,1,194,140,1,1,1000001184,194
231,09/08/2024,14/08/2024,1,195,184,0,0,"",195
232,01/02/2024,14/02/2024,3,196,210,1,1,1000001186,196
233,19/09/2024,28/09/2024,4,197,101,1,1,1000001187,197
234,16/03/2024,02/04/2024,1,198,229,1,1,1000001188,198
235,04/01/2024,10/01/2024,1,199,10,1,1,1000001189,199
236,12/08/2024,29/08/2024,1,200,88,1,1,1000001190,200
237,18/07/2024,26/07/2024,2,201,74,1,1,1000001191,201
238,25/11/2024,30/11/2024,3,202,218,1,1,1000001192,202
239,25/10/2024,05/11/2024,4,203,126,1,1,1000001193,203
240,09/12/2024,27/12/2024,1,204,3,1,1,1000001194,204
241,02/08/2024,21/08/2024,3,205,66,0,0,"",205
242,04/07/2024,18/07/2024,1,206,65,0,0,"",206
243,23/07/2024,07/08/2024,2,207,102,0,0,"",207
244,16/06/2024,30/06/2024,1,208,79,0,0,"",208
245,15/02/2024,20/02/2024,3,209,220,1,1,1000001199,209
246,16/09/2024,19/09/2024,3,10,15,1,1,1000001200,10
