IDESTADIA,FECHALLEGADA,FECHASALIDA,NUMEROPERSONAS,IDPLAN,IDHABITACION,PAGADO,CHECKIN,IDCLIENTE,IDCONVENCION
382,01/07/2024,16/07/2024,1,145,140,1,1,1000001336,145
383,29/06/2024,06/07/2024,2,146,105,0,0,"",146
384,30/08/2024,18/09/2024,1,147,258,1,1,1000001338,147
385,17/05/2024,26/05/2024,2,148,188,0,0,"",148
386,22/04/2024,11/05/2024,3,149,142,0,0,"",149
387,16/05/2024,04/06/2024,2,150,124,1,1,1000001341,150
388,02/10/2024,21/10/2024,1,151,67,1,1,1000001342,151
389,06/02/2024,18/02/2024,1,152,187,1,1,1000001343,152
390,30/10/2024,08/11/2024,2,153,43,1,1,1000001344,153
391,04/04/2024,07/04/2024,2,154,201,0,0,"",154
392,17/09/2024,21/09/2024,3,155,121,1,1,1000001346,155
393,27/06/2024,30/06/2024,1,156,132,0,0,"",156
394,25/06/2024,28/06/2024,3,157,183,1,1,1000001348,157
395,30/07/2024,09/08/2024,4,158,226,0,0,"",158
396,18/08/2024,30/08/2024,3,159,188,0,0,"",159
397,02/11/2024,11/11/2024,1,160,259,1,1,1000001351,160
398,27/01/2024,11/02/2024,1,161,286,1,1,1000001352,161
399,11/06/2024,30/06/2024,1,162,188,1,1,1000001353,162
400,09/11/2024,23/11/2024,1,163,167,0,0,"",163
401,27/02/2024,09/03/2024,1,164,191,1,1,1000001355,164
402,23/05/2024,28/05/2024,3,165,54,0,0,"",165
403,19/12/2024,27/12/2024,1,166,255,0,0,"",166
404,26/09/2024,30/09/2024,2,167,68,0,0,"",167
405,25/08/2024,11/09/2024,2,168,140,1,1,1000001359,168
406,27/04/2024,11/05/2024,2,169,21,1,1,1000001360,169
407,04/04/2024,08/04/2024,1,170,66,0,0,"",170
408,24/04/2024,03/05/2024,3,171,120,1,1,1000001362,171
409,03/02/2024,10/02/2024,3,172,201,1,1,1000001363,172
410,03/04/2024,15/04/2024,4,173,171,0,0,"",173
411,05/06/2024,25/06/2024,2,174,273,1,1,1000001365,174
412,21/04/2024,09/05/2024,3,175,35,0,0,"",175
413,25/01/2024,04/02/2024,1,176,31,0,0,"",176
414,28/06/2024,02/07/2024,3,177,105,0,0,"",177
415,09/02/2024,22/02/2024,3,178,165,1,1,1000001369,178
416,10/09/2024,28/09/2024,4,179,295,1,1,1000001370,179
417,21/08/2024,30/08/2024,3,180,44,1,1,1000001371,180
418,15/10/2024,20/10/2024,3,181,281,1,1,1000001372,181
419,20/08/2024,03/09/2024,1,182,273,1,1,1000001373,182
420,28/08/2024,13/09/2024,4,183,157,0,0,"",183
421,10/07/2024,23/07/2024,4,184,208,1,1,1000001375,184
422,28/09/2024,02/10/2024,2,185,156,0,0,"",185
423,17/11/2024,28/11/2024,4,186,161,1,1,1000001377,186
424,18/07/2024,28/07/2024,3,187,283,0,0,"",187
425,28/06/2024,11/07/2024,1,188,184,1,1,1000001379,188
426,09/01/2024,17/01/2024,4,189,145,1,1,1000001380,189
427,20/02/2024,03/03/2024,3,190,99,0,0,"",190
428,16/05/2024,22/05/2024,4,191,52,1,1,1000001382,191
429,31/10/2024,13/11/2024,4,192,296,0,0,"",192
430,12/10/2024,29/10/2024,2,193,81,1,1,1000001384,193
431,09/06/2024,28/06/2024,2,194,111,1,1,1000001385,194
432,09/08/2024,14/08/2024,3,195,212,0,0,"",195
433,01/02/2024,14/02/2024,4,196,200,1,1,1000001387,196
434,19/09/2024,28/09/2024,1,197,185,1,1,1000001388,197
435,16/03/2024,02/04/2024,4,198,278,1,1,1000001389,198
436,04/01/2024,10/01/2024,3,199,242,1,1,1000001390,199
437,12/08/2024,29/08/2024,3,200,52,1,1,1000001391,200
438,18/07/2024,26/07/2024,2,201,9,1,1,1000001392,201
439,25/11/2024,30/11/2024,4,202,112,1,1,1000001393,202
440,25/10/2024,05/11/2024,1,203,52,1,1,1000001394,203
441,09/12/2024,27/12/2024,2,204,243,1,1,1000001395,204
442,02/08/2024,21/08/2024,3,205,221,0,0,"",205
443,04/07/2024,18/07/2024,2,206,264,0,0,"",206
444,23/07/2024,07/08/2024,1,207,145,0,0,"",207
445,16/06/2024,30/06/2024,2,208,99,0,0,"",208
446,15/02/2024,20/02/2024,3,209,55,1,1,1000001400,209
447,16/09/2024,19/09/2024,1,10,117,1,1,1000001401,10
