IDHORARIO,DURACION,IDSERVICIO,FECHAINICIO,DIA,HORAINICIO,HORAFIN,FECHAFIN
92677,,17,11/05/2017,,20,24,12/05/2017
92678,,18,20/11/2017,,8,23,20/11/2017
92679,,8,17/12/2017,,21,23,17/12/2017
92680,,17,23/06/2017,,22,15,23/06/2017
92681,,20,21/12/2017,,4,19,22/12/2017
92682,,5,17/10/2017,,15,18,17/10/2017
92683,,12,30/08/2017,,15,19,30/08/2017
92684,,13,19/09/2017,,17,16,20/09/2017
92685,,8,14/06/2017,,7,20,14/06/2017
92686,,15,11/09/2017,,23,22,11/09/2017
92687,,5,25/11/2017,,6,24,26/11/2017
92688,,15,18/06/2017,,12,22,19/06/2017
92689,,14,26/06/2017,,16,23,26/06/2017
92690,,11,25/01/2017,,13,22,25/01/2017
92691,,13,07/10/2017,,12,23,07/10/2017
92692,,5,03/08/2017,,19,24,03/08/2017
92693,,8,02/01/2018,,19,17,02/01/2018
92694,,13,29/01/2017,,5,20,30/01/2017
92695,,5,28/12/2017,,21,19,29/12/2017
92696,,22,27/03/2017,,16,21,28/03/2017
92697,,12,15/09/2017,,19,21,16/09/2017
92698,,12,18/01/2017,,5,14,19/01/2017
92699,,22,15/08/2017,,23,15,16/08/2017
92700,,17,18/12/2017,,3,12,18/12/2017
92701,,8,05/06/2017,,15,16,05/06/2017
92702,,14,23/04/2017,,19,19,23/04/2017
92703,,22,01/12/2017,,11,14,01/12/2017
92704,,4,13/03/2017,,15,18,13/03/2017
92705,,20,12/03/2017,,13,16,12/03/2017
92706,,4,20/08/2017,,21,22,20/08/2017
92707,,20,16/05/2017,,19,20,16/05/2017
92708,,11,25/03/2017,,4,17,26/03/2017
92709,,22,29/05/2017,,15,5,30/05/2017
92710,,4,15/11/2017,,20,22,16/11/2017
92711,,11,29/12/2017,,4,11,30/12/2017
92712,,13,10/10/2017,,2,22,11/10/2017
92713,,18,23/08/2017,,16,24,24/08/2017
92714,,5,09/03/2017,,22,23,10/03/2017
92715,,4,18/03/2017,,4,17,18/03/2017
92716,,22,25/02/2017,,13,18,26/02/2017
92717,,18,24/03/2017,,10,15,25/03/2017
92718,,4,07/05/2017,,16,22,08/05/2017
92719,,14,20/06/2017,,9,11,21/06/2017
92720,,13,13/08/2017,,3,16,13/08/2017
92721,,20,06/05/2017,,7,10,07/05/2017
92722,,11,03/04/2017,,9,17,03/04/2017
92723,,13,08/11/2017,,14,15,08/11/2017
92724,,8,03/12/2017,,9,15,03/12/2017
92725,,13,23/05/2017,,18,22,24/05/2017
92726,,17,23/09/2017,,9,22,23/09/2017
92727,,11,15/06/2017,,15,24,16/06/2017
92728,,8,27/08/2017,,19,24,27/08/2017
92729,,5,18/11/2017,,14,10,19/11/2017
92730,,4,17/07/2017,,23,10,18/07/2017
92731,,13,19/10/2017,,11,23,19/10/2017
92732,,8,09/10/2017,,19,23,09/10/2017
92733,,18,16/05/2017,,7,24,16/05/2017
92734,,11,02/11/2017,,20,19,02/11/2017
92735,,13,10/11/2017,,22,15,11/11/2017
92736,,13,19/11/2017,,2,21,19/11/2017
92737,,11,19/12/2017,,19,9,20/12/2017
92738,,8,05/08/2017,,1,22,06/08/2017
92739,,11,27/10/2017,,17,22,28/10/2017
92740,,12,29/09/2017,,16,19,30/09/2017
92741,,20,18/03/2017,,15,17,18/03/2017
92742,,4,23/12/2017,,11,23,24/12/2017
92743,,18,25/01/2017,,11,14,26/01/2017
92744,,14,14/08/2017,,17,23,15/08/2017
92745,,12,16/09/2017,,16,5,17/09/2017
92746,,4,10/12/2017,,10,21,10/12/2017
92747,,14,01/09/2017,,6,20,01/09/2017
92748,,20,15/07/2017,,19,23,16/07/2017
92749,,5,26/12/2017,,20,22,27/12/2017
92750,,11,19/02/2017,,12,18,19/02/2017
92751,,14,26/10/2017,,0,17,26/10/2017
92752,,12,15/08/2017,,8,20,15/08/2017
92753,,8,26/10/2017,,17,23,27/10/2017
92754,,12,11/11/2017,,12,23,12/11/2017
92755,,8,01/09/2017,,22,22,02/09/2017
92756,,11,02/08/2017,,21,15,02/08/2017
92757,,22,17/07/2017,,12,16,17/07/2017
92758,,11,24/10/2017,,18,11,25/10/2017
92759,,14,23/05/2017,,9,21,23/05/2017
92760,,22,13/12/2017,,8,12,14/12/2017
92761,,14,05/03/2017,,15,16,06/03/2017
92762,,11,06/09/2017,,20,12,07/09/2017
92763,,15,14/03/2017,,2,12,15/03/2017
92764,,17,29/05/2017,,19,20,29/05/2017
92765,,5,11/11/2017,,2,24,12/11/2017
92766,,5,19/06/2017,,20,7,20/06/2017
92767,,18,09/05/2017,,10,16,09/05/2017
92768,,13,20/08/2017,,21,20,21/08/2017
92769,,13,14/05/2017,,11,11,14/05/2017
92770,,12,24/11/2017,,14,15,25/11/2017
92771,,15,08/06/2017,,20,1,08/06/2017
92772,,18,16/04/2017,,4,24,16/04/2017
92773,,20,27/11/2017,,18,21,28/11/2017
92774,,20,17/10/2017,,2,23,17/10/2017
92775,,4,08/11/2017,,22,23,09/11/2017
92776,,17,26/07/2017,,21,19,26/07/2017
92777,,12,13/08/2017,,11,24,14/08/2017
92778,,13,24/10/2017,,15,11,25/10/2017
92779,,18,15/07/2017,,10,19,15/07/2017
92780,,12,30/04/2017,,11,17,30/04/2017
92781,,14,23/06/2017,,18,18,24/06/2017
92782,,20,06/11/2017,,20,22,06/11/2017
92783,,4,03/07/2017,,21,23,03/07/2017
92784,,11,01/09/2017,,19,15,01/09/2017
92785,,20,29/11/2017,,7,21,29/11/2017
92786,,15,07/02/2017,,15,17,08/02/2017
92787,,22,08/10/2017,,6,18,08/10/2017
92788,,20,25/12/2017,,18,19,25/12/2017
92789,,5,29/08/2017,,6,18,30/08/2017
92790,,15,30/12/2017,,6,5,31/12/2017
92791,,17,24/12/2017,,7,19,25/12/2017
92792,,14,15/07/2017,,21,8,15/07/2017
92793,,15,22/11/2017,,9,19,22/11/2017
92794,,8,05/04/2017,,20,23,06/04/2017
92795,,11,26/12/2017,,0,23,26/12/2017
92796,,15,31/10/2017,,23,19,31/10/2017
92797,,14,28/04/2017,,23,12,28/04/2017
92798,,14,23/12/2017,,18,5,24/12/2017
92799,,14,30/01/2017,,17,17,31/01/2017
92800,,17,21/01/2017,,23,23,22/01/2017
92801,,8,08/08/2017,,9,23,09/08/2017
92802,,12,06/05/2017,,12,23,06/05/2017
92803,,12,29/04/2017,,20,22,30/04/2017
92804,,4,13/09/2017,,21,12,13/09/2017
92805,,20,27/07/2017,,10,19,27/07/2017
92806,,8,06/08/2017,,20,23,07/08/2017
92807,,15,12/06/2017,,4,21,13/06/2017
92808,,22,15/01/2017,,13,24,15/01/2017
92809,,4,03/03/2017,,19,21,03/03/2017
92810,,8,15/10/2017,,19,22,15/10/2017
92811,,22,09/04/2017,,14,23,10/04/2017
92812,,8,07/05/2017,,23,23,07/05/2017
92813,,11,03/01/2017,,12,18,04/01/2017
92814,,11,10/04/2017,,15,17,11/04/2017
92815,,18,14/01/2017,,17,24,15/01/2017
92816,,12,13/11/2017,,3,19,14/11/2017
92817,,15,28/06/2017,,16,17,28/06/2017
92818,,22,19/06/2017,,0,19,20/06/2017
92819,,17,22/12/2017,,23,11,22/12/2017
92820,,22,13/06/2017,,5,24,14/06/2017
92821,,11,01/11/2017,,18,22,02/11/2017
92822,,4,03/03/2017,,8,22,04/03/2017
92823,,22,09/05/2017,,15,9,10/05/2017
92824,,13,17/08/2017,,20,20,18/08/2017
92825,,12,09/12/2017,,6,19,09/12/2017
92826,,13,20/10/2017,,7,24,21/10/2017
92827,,17,17/01/2017,,17,7,17/01/2017
92828,,4,26/11/2017,,0,21,26/11/2017
92829,,17,29/11/2017,,0,14,30/11/2017
92830,,20,10/07/2017,,20,23,10/07/2017
92831,,14,18/08/2017,,2,10,19/08/2017
92832,,12,07/08/2017,,1,24,08/08/2017
92833,,14,13/03/2017,,9,24,13/03/2017
92834,,15,25/06/2017,,6,16,25/06/2017
92835,,17,09/04/2017,,11,13,10/04/2017
92836,,17,27/08/2017,,5,12,27/08/2017
92837,,11,11/04/2017,,9,23,11/04/2017
92838,,11,04/01/2017,,12,23,04/01/2017
92839,,14,21/11/2017,,10,24,22/11/2017
92840,,20,02/06/2017,,21,24,03/06/2017
92841,,17,20/02/2017,,16,9,21/02/2017
92842,,13,31/01/2017,,13,21,01/02/2017
92843,,8,27/09/2017,,19,16,28/09/2017
92844,,12,08/06/2017,,5,21,08/06/2017
92845,,12,01/01/2017,,3,11,02/01/2017
92846,,17,11/12/2017,,10,24,11/12/2017
92847,,18,21/08/2017,,3,21,22/08/2017
92848,,22,09/02/2017,,15,7,10/02/2017
92849,,4,09/04/2017,,3,9,09/04/2017
92850,,15,30/09/2017,,17,22,01/10/2017
92851,,5,04/05/2017,,18,19,05/05/2017
92852,,14,27/05/2017,,16,9,28/05/2017
92853,,4,13/11/2017,,10,23,13/11/2017
92854,,13,29/08/2017,,2,6,29/08/2017
92855,,14,09/12/2017,,0,12,09/12/2017
92856,,14,16/03/2017,,5,16,16/03/2017
92857,,8,07/05/2017,,14,14,08/05/2017
92858,,15,18/03/2017,,16,16,18/03/2017
92859,,11,09/05/2017,,12,6,09/05/2017
92860,,12,01/12/2017,,7,20,01/12/2017
92861,,20,09/08/2017,,10,12,10/08/2017
92862,,8,16/06/2017,,19,19,16/06/2017
92863,,4,11/04/2017,,16,11,12/04/2017
92864,,13,20/02/2017,,0,23,21/02/2017
92865,,22,15/12/2017,,12,23,16/12/2017
92866,,17,26/10/2017,,1,17,27/10/2017
92867,,8,26/11/2017,,7,24,26/11/2017
92868,,4,20/06/2017,,3,21,20/06/2017
92869,,13,07/10/2017,,2,11,07/10/2017
92870,,8,19/10/2017,,17,23,20/10/2017
92871,,15,08/04/2017,,20,12,08/04/2017
92872,,18,18/11/2017,,12,22,18/11/2017
92873,,11,04/06/2017,,13,22,05/06/2017
92874,,22,29/01/2017,,3,22,30/01/2017
92875,,17,13/01/2017,,13,24,14/01/2017
92876,,13,06/03/2017,,14,15,07/03/2017
92877,,14,18/03/2017,,0,12,18/03/2017
92878,,22,21/02/2017,,23,20,22/02/2017
92879,,14,07/07/2017,,23,18,07/07/2017
92880,,17,16/04/2017,,14,18,16/04/2017
92881,,12,07/04/2017,,6,16,07/04/2017
92882,,15,06/10/2017,,16,24,07/10/2017
92883,,11,16/03/2017,,13,17,16/03/2017
92884,,18,04/07/2017,,23,22,05/07/2017
92885,,17,16/08/2017,,21,16,17/08/2017
92886,,13,15/01/2017,,20,22,16/01/2017
92887,,8,09/02/2017,,3,11,10/02/2017
92888,,17,15/09/2017,,19,22,15/09/2017
92889,,22,16/01/2017,,13,12,17/01/2017
92890,,5,02/04/2017,,21,21,03/04/2017
92891,,18,11/05/2017,,6,20,12/05/2017
92892,,18,22/07/2017,,12,24,22/07/2017
92893,,13,16/08/2017,,8,20,16/08/2017
92894,,22,05/02/2017,,21,20,05/02/2017
92895,,12,16/10/2017,,3,22,17/10/2017
92896,,18,09/07/2017,,13,1,10/07/2017
92897,,17,22/04/2017,,18,19,22/04/2017
92898,,22,13/02/2017,,18,11,14/02/2017
92899,,15,29/08/2017,,8,23,30/08/2017
92900,,13,24/02/2017,,8,14,25/02/2017
92901,,11,29/07/2017,,11,6,29/07/2017
92902,,20,26/06/2017,,19,16,26/06/2017
92903,,18,24/03/2017,,3,19,24/03/2017
92904,,8,05/04/2017,,9,7,05/04/2017
92905,,20,16/01/2017,,22,22,16/01/2017
92906,,11,29/12/2017,,0,11,29/12/2017
92907,,4,09/07/2017,,3,12,10/07/2017
92908,,22,04/12/2017,,12,13,04/12/2017
92909,,11,08/10/2017,,7,23,08/10/2017
92910,,17,08/12/2017,,6,24,09/12/2017
92911,,13,12/10/2017,,14,23,13/10/2017
92912,,12,30/04/2017,,19,18,30/04/2017
92913,,13,27/01/2017,,23,23,28/01/2017
92914,,17,15/10/2017,,10,23,16/10/2017
92915,,12,30/09/2017,,18,16,01/10/2017
92916,,15,01/08/2017,,16,21,01/08/2017
92917,,8,01/09/2017,,10,20,01/09/2017
92918,,20,16/09/2017,,21,19,17/09/2017
92919,,22,11/11/2017,,22,22,12/11/2017
92920,,4,12/02/2017,,2,10,12/02/2017
92921,,13,15/03/2017,,10,24,16/03/2017
92922,,4,16/02/2017,,3,23,17/02/2017
92923,,5,16/05/2017,,6,21,17/05/2017
92924,,18,02/10/2017,,2,21,02/10/2017
92925,,18,17/03/2017,,15,11,17/03/2017
92926,,13,28/09/2017,,0,18,29/09/2017
92927,,4,02/12/2017,,17,21,03/12/2017
92928,,17,21/11/2017,,1,23,22/11/2017
92929,,13,29/12/2017,,11,22,29/12/2017
92930,,18,07/09/2017,,5,23,07/09/2017
92931,,18,24/05/2017,,3,22,24/05/2017
92932,,5,20/05/2017,,2,17,20/05/2017
92933,,18,17/12/2017,,10,19,17/12/2017
92934,,17,17/12/2017,,22,22,18/12/2017
92935,,12,12/08/2017,,7,20,12/08/2017
92936,,5,04/02/2017,,2,18,05/02/2017
92937,,4,21/01/2017,,17,24,21/01/2017
92938,,14,29/06/2017,,1,17,30/06/2017
92939,,13,16/01/2017,,20,19,16/01/2017
92940,,4,25/11/2017,,2,21,25/11/2017
92941,,8,08/11/2017,,11,15,09/11/2017
92942,,4,04/12/2017,,5,12,04/12/2017
92943,,15,18/02/2017,,18,15,19/02/2017
92944,,8,05/09/2017,,10,22,06/09/2017
92945,,13,13/11/2017,,2,16,14/11/2017
92946,,14,04/03/2017,,12,10,04/03/2017
92947,,5,03/03/2017,,2,24,03/03/2017
92948,,13,17/03/2017,,9,7,17/03/2017
92949,,20,27/02/2017,,19,6,28/02/2017
92950,,15,19/04/2017,,11,15,20/04/2017
92951,,13,17/09/2017,,10,20,18/09/2017
92952,,13,15/05/2017,,16,24,16/05/2017
92953,,11,06/07/2017,,19,8,07/07/2017
92954,,4,09/08/2017,,0,14,10/08/2017
92955,,5,14/12/2017,,18,23,15/12/2017
92956,,13,19/08/2017,,14,11,20/08/2017
92957,,12,07/01/2017,,20,23,07/01/2017
92958,,15,07/05/2017,,21,17,08/05/2017
92959,,8,31/05/2017,,5,24,01/06/2017
92960,,12,30/08/2017,,7,13,30/08/2017
92961,,18,24/04/2017,,13,9,24/04/2017
92962,,22,01/02/2017,,2,20,02/02/2017
92963,,11,14/01/2017,,5,22,15/01/2017
92964,,17,18/02/2017,,15,9,18/02/2017
92965,,11,14/10/2017,,3,20,15/10/2017
92966,,5,09/06/2017,,15,23,10/06/2017
92967,,8,03/01/2018,,17,19,03/01/2018
92968,,11,11/10/2017,,15,16,11/10/2017
92969,,11,25/12/2017,,15,12,26/12/2017
92970,,12,13/12/2017,,4,20,14/12/2017
92971,,18,11/03/2017,,21,24,11/03/2017
92972,,20,29/03/2017,,22,23,30/03/2017
92973,,12,02/12/2017,,9,23,03/12/2017
92974,,8,24/07/2017,,2,23,25/07/2017
92975,,20,16/10/2017,,22,5,16/10/2017
92976,,8,10/12/2017,,12,15,11/12/2017
92977,,13,30/07/2017,,21,22,31/07/2017
92978,,11,23/04/2017,,15,21,24/04/2017
92979,,22,29/08/2017,,4,20,30/08/2017
92980,,8,02/01/2017,,1,20,03/01/2017
92981,,4,10/07/2017,,6,17,10/07/2017
92982,,14,05/06/2017,,1,19,06/06/2017
92983,,5,09/09/2017,,14,24,09/09/2017
92984,,11,26/07/2017,,7,16,27/07/2017
92985,,8,17/09/2017,,3,23,18/09/2017
92986,,4,14/07/2017,,3,19,15/07/2017
92987,,14,10/11/2017,,11,24,10/11/2017
92988,,11,09/02/2017,,6,22,09/02/2017
92989,,15,16/04/2017,,2,22,16/04/2017
92990,,15,23/03/2017,,10,18,24/03/2017
92991,,18,11/05/2017,,13,23,12/05/2017
92992,,15,01/08/2017,,16,23,02/08/2017
92993,,17,24/07/2017,,11,24,24/07/2017
92994,,22,10/09/2017,,12,10,11/09/2017
92995,,5,05/05/2017,,7,19,06/05/2017
92996,,14,26/01/2017,,11,21,27/01/2017
92997,,5,07/07/2017,,10,18,07/07/2017
92998,,8,04/01/2017,,4,17,05/01/2017
92999,,13,30/07/2017,,20,15,30/07/2017
93000,,14,11/08/2017,,4,8,12/08/2017
93001,,18,14/05/2017,,11,6,15/05/2017
93002,,14,28/04/2017,,18,14,29/04/2017
93003,,18,10/05/2017,,23,23,10/05/2017
93004,,22,13/12/2017,,22,19,14/12/2017
93005,,14,20/02/2017,,21,23,20/02/2017
93006,,14,09/01/2018,,6,13,10/01/2018
93007,,22,14/03/2017,,20,9,14/03/2017
93008,,8,19/08/2017,,11,20,19/08/2017
93009,,15,11/02/2017,,10,23,12/02/2017
93010,,14,11/02/2017,,12,23,12/02/2017
93011,,12,22/07/2017,,17,19,22/07/2017
93012,,15,20/02/2017,,23,10,20/02/2017
93013,,22,12/05/2017,,15,18,13/05/2017
93014,,20,06/07/2017,,14,19,06/07/2017
93015,,8,02/09/2017,,20,19,02/09/2017
93016,,14,30/12/2017,,21,23,30/12/2017
93017,,13,24/05/2017,,2,22,24/05/2017
93018,,14,29/08/2017,,19,12,29/08/2017
93019,,5,10/12/2017,,11,18,11/12/2017
93020,,14,17/10/2017,,20,19,17/10/2017
93021,,12,26/10/2017,,7,20,27/10/2017
93022,,14,17/07/2017,,17,21,17/07/2017
93023,,13,25/08/2017,,6,22,25/08/2017
93024,,15,14/03/2017,,10,17,15/03/2017
93025,,17,26/10/2017,,11,15,27/10/2017
93026,,20,17/02/2017,,23,13,17/02/2017
93027,,5,11/06/2017,,16,22,12/06/2017
93028,,14,21/04/2017,,7,14,22/04/2017
93029,,22,04/05/2017,,13,22,05/05/2017
93030,,4,29/09/2017,,21,11,30/09/2017
93031,,11,06/05/2017,,15,22,06/05/2017
93032,,15,19/11/2017,,3,24,19/11/2017
93033,,17,20/04/2017,,4,23,20/04/2017
93034,,18,10/09/2017,,6,17,10/09/2017
93035,,14,28/02/2017,,9,11,28/02/2017
93036,,13,25/01/2017,,7,18,26/01/2017
93037,,12,19/02/2017,,2,13,19/02/2017
93038,,12,24/03/2017,,23,23,25/03/2017
93039,,13,04/04/2017,,6,14,05/04/2017
93040,,17,16/09/2017,,6,20,16/09/2017
93041,,18,26/02/2017,,17,20,26/02/2017
93042,,14,02/10/2017,,13,21,03/10/2017
93043,,14,20/06/2017,,13,24,20/06/2017
93044,,17,23/12/2017,,2,20,23/12/2017
93045,,5,26/07/2017,,23,19,27/07/2017
93046,,8,24/09/2017,,1,15,24/09/2017
93047,,20,14/12/2017,,5,9,14/12/2017
93048,,5,15/08/2017,,17,17,15/08/2017
93049,,18,04/02/2017,,21,19,05/02/2017
93050,,17,08/06/2017,,2,17,09/06/2017
93051,,15,25/10/2017,,10,22,26/10/2017
93052,,11,13/03/2017,,16,20,13/03/2017
93053,,4,07/05/2017,,20,20,08/05/2017
93054,,11,02/08/2017,,5,18,02/08/2017
93055,,18,21/07/2017,,22,24,21/07/2017
93056,,18,30/03/2017,,13,23,31/03/2017
93057,,4,01/11/2017,,23,10,01/11/2017
93058,,18,14/07/2017,,5,22,14/07/2017
93059,,13,30/12/2017,,7,21,31/12/2017
93060,,22,30/12/2017,,14,17,30/12/2017
93061,,8,30/12/2017,,19,20,30/12/2017
93062,,12,12/01/2017,,4,23,13/01/2017
93063,,4,24/07/2017,,20,22,25/07/2017
93064,,14,28/01/2017,,12,22,29/01/2017
93065,,13,29/11/2017,,14,12,30/11/2017
93066,,12,04/11/2017,,6,11,04/11/2017
93067,,4,22/06/2017,,8,13,22/06/2017
93068,,17,15/11/2017,,22,24,15/11/2017
93069,,15,02/04/2017,,12,3,02/04/2017
93070,,15,02/11/2017,,7,21,03/11/2017
93071,,8,14/07/2017,,19,24,14/07/2017
93072,,22,14/06/2017,,21,15,14/06/2017
93073,,17,30/12/2017,,0,19,30/12/2017
93074,,20,04/02/2017,,7,24,05/02/2017
93075,,13,14/02/2017,,20,8,15/02/2017
93076,,22,14/05/2017,,4,12,15/05/2017
93077,,15,25/01/2017,,6,5,26/01/2017
93078,,20,18/12/2017,,17,10,19/12/2017
93079,,15,03/01/2017,,17,18,03/01/2017
93080,,22,19/03/2017,,7,7,19/03/2017
93081,,14,26/09/2017,,0,24,26/09/2017
93082,,12,08/02/2017,,20,14,08/02/2017
93083,,5,16/10/2017,,5,24,16/10/2017
93084,,14,23/07/2017,,1,19,23/07/2017
93085,,13,12/03/2017,,6,20,13/03/2017
93086,,8,30/03/2017,,16,23,30/03/2017
93087,,18,14/05/2017,,22,24,14/05/2017
93088,,15,18/12/2017,,17,23,18/12/2017
93089,,13,01/09/2017,,15,20,01/09/2017
93090,,14,13/03/2017,,1,20,14/03/2017
93091,,12,17/12/2017,,2,13,18/12/2017
93092,,5,17/02/2017,,17,24,17/02/2017
93093,,22,26/02/2017,,17,24,27/02/2017
93094,,12,24/04/2017,,6,17,25/04/2017
93095,,5,23/11/2017,,9,4,23/11/2017
93096,,11,16/10/2017,,11,7,16/10/2017
93097,,8,19/05/2017,,18,23,19/05/2017
93098,,20,23/11/2017,,15,16,23/11/2017
93099,,4,13/10/2017,,19,13,14/10/2017
93100,,17,02/03/2017,,20,11,03/03/2017
93101,,20,08/06/2017,,1,13,09/06/2017
93102,,17,02/12/2017,,7,24,02/12/2017
93103,,11,21/07/2017,,5,15,22/07/2017
93104,,18,05/08/2017,,18,17,06/08/2017
93105,,5,12/05/2017,,19,19,13/05/2017
93106,,14,23/12/2017,,23,20,24/12/2017
93107,,20,28/04/2017,,16,16,28/04/2017
93108,,18,09/04/2017,,19,19,10/04/2017
93109,,18,09/03/2017,,23,18,09/03/2017
93110,,13,22/09/2017,,8,15,22/09/2017
93111,,11,16/04/2017,,1,20,16/04/2017
93112,,4,14/10/2017,,19,12,15/10/2017
93113,,17,25/09/2017,,21,21,25/09/2017
93114,,8,27/04/2017,,9,18,28/04/2017
93115,,4,13/07/2017,,22,22,14/07/2017
93116,,17,09/09/2017,,6,6,09/09/2017
93117,,4,07/04/2017,,3,21,08/04/2017
93118,,12,20/02/2017,,18,21,21/02/2017
93119,,22,26/03/2017,,15,11,27/03/2017
93120,,22,13/06/2017,,10,8,14/06/2017
93121,,8,25/08/2017,,19,14,25/08/2017
93122,,13,29/01/2017,,5,8,30/01/2017
93123,,17,28/07/2017,,2,22,28/07/2017
93124,,4,01/05/2017,,12,15,01/05/2017
93125,,11,09/06/2017,,1,19,09/06/2017
93126,,17,05/07/2017,,15,16,06/07/2017
93127,,13,03/12/2017,,4,11,04/12/2017
93128,,13,09/08/2017,,11,21,10/08/2017
93129,,22,24/03/2017,,14,13,25/03/2017
93130,,18,02/08/2017,,1,6,03/08/2017
93131,,15,25/09/2017,,17,18,26/09/2017
93132,,5,28/09/2017,,5,24,28/09/2017
93133,,8,12/07/2017,,19,6,12/07/2017
93134,,4,25/11/2017,,1,13,25/11/2017
93135,,17,07/01/2017,,23,9,07/01/2017
93136,,5,07/08/2017,,19,17,08/08/2017
93137,,5,18/05/2017,,22,19,19/05/2017
93138,,13,20/08/2017,,1,17,20/08/2017
93139,,4,31/05/2017,,3,17,31/05/2017
93140,,4,31/01/2017,,1,12,31/01/2017
93141,,18,26/12/2017,,20,21,26/12/2017
93142,,4,27/10/2017,,2,13,28/10/2017
93143,,12,12/03/2017,,4,17,12/03/2017
93144,,5,14/01/2017,,18,18,14/01/2017
93145,,22,24/10/2017,,16,24,25/10/2017
93146,,8,18/03/2017,,1,20,18/03/2017
93147,,4,04/04/2017,,14,19,05/04/2017
93148,,12,25/02/2017,,6,17,25/02/2017
93149,,5,30/12/2017,,4,20,31/12/2017
93150,,17,27/05/2017,,11,24,27/05/2017
93151,,15,21/10/2017,,7,24,21/10/2017
93152,,22,13/07/2017,,8,19,14/07/2017
93153,,5,22/10/2017,,15,6,22/10/2017
93154,,4,22/07/2017,,15,10,23/07/2017
93155,,18,10/09/2017,,20,24,11/09/2017
93156,,14,30/10/2017,,0,22,30/10/2017
93157,,5,17/05/2017,,14,24,18/05/2017
93158,,22,12/11/2017,,18,21,12/11/2017
93159,,18,06/11/2017,,23,22,06/11/2017
93160,,12,21/11/2017,,10,5,22/11/2017
93161,,5,13/02/2017,,12,22,13/02/2017
93162,,18,27/02/2017,,16,21,28/02/2017
93163,,20,15/08/2017,,6,13,16/08/2017
93164,,15,20/12/2017,,10,6,21/12/2017
93165,,8,22/03/2017,,23,20,23/03/2017
93166,,11,11/05/2017,,6,22,12/05/2017
93167,,11,16/04/2017,,18,20,16/04/2017
93168,,8,10/12/2017,,2,23,11/12/2017
93169,,13,30/07/2017,,15,22,31/07/2017
93170,,22,04/04/2017,,6,10,05/04/2017
93171,,5,20/03/2017,,6,17,20/03/2017
93172,,4,07/05/2017,,15,24,07/05/2017
93173,,13,24/12/2017,,5,21,24/12/2017
93174,,17,11/06/2017,,20,9,12/06/2017
93175,,20,06/10/2017,,21,23,06/10/2017
93176,,20,31/07/2017,,20,17,31/07/2017
93177,,15,25/06/2017,,2,16,25/06/2017
93178,,22,14/08/2017,,19,23,15/08/2017
93179,,5,06/11/2017,,21,23,07/11/2017
93180,,11,28/03/2017,,5,24,29/03/2017
93181,,13,08/02/2017,,19,15,08/02/2017
93182,,15,12/06/2017,,4,15,12/06/2017
93183,,14,22/01/2017,,13,21,23/01/2017
93184,,14,16/05/2017,,4,16,17/05/2017
