IDESTADIA,FECHALLEGADA,FECHASALIDA,NUMEROPERSONAS,IDPLAN,IDHABITACION,PAGADO,CHECKIN,IDCLIENTE,IDCONVENCION
766,21/06/2024,01/07/2024,2,127,179,0,0,"",127
767,25/11/2024,06/12/2024,1,128,211,0,0,"",128
768,25/03/2024,14/04/2024,1,129,124,1,1,1000001716,129
769,01/08/2024,18/08/2024,1,130,117,0,0,"",130
770,01/03/2024,12/03/2024,3,131,205,0,0,"",131
771,14/04/2024,18/04/2024,2,132,137,1,1,1000001719,132
772,02/03/2024,08/03/2024,1,133,54,1,1,1000001720,133
773,17/12/2024,24/12/2024,1,134,56,0,0,"",134
774,30/09/2024,14/10/2024,3,135,234,0,0,"",135
775,07/09/2024,18/09/2024,2,136,21,1,1,1000001723,136
776,28/01/2024,16/02/2024,2,137,49,1,1,1000001724,137
777,19/11/2024,05/12/2024,4,138,297,0,0,"",138
778,16/08/2024,19/08/2024,4,139,217,1,1,1000001726,139
779,13/05/2024,02/06/2024,3,140,224,0,0,"",140
780,10/02/2024,13/02/2024,1,141,235,0,0,"",141
781,03/08/2024,11/08/2024,3,142,71,1,1,1000001729,142
782,25/09/2024,15/10/2024,1,143,221,0,0,"",143
783,24/10/2024,07/11/2024,4,144,83,0,0,"",144
784,01/07/2024,16/07/2024,3,145,69,1,1,1000001732,145
785,29/06/2024,06/07/2024,3,146,30,0,0,"",146
786,30/08/2024,18/09/2024,2,147,180,1,1,1000001734,147
787,17/05/2024,26/05/2024,2,148,172,0,0,"",148
788,22/04/2024,11/05/2024,3,149,256,0,0,"",149
789,16/05/2024,04/06/2024,4,150,8,1,1,1000001737,150
790,02/10/2024,21/10/2024,2,151,5,1,1,1000001738,151
791,06/02/2024,18/02/2024,2,152,140,1,1,1000001739,152
792,30/10/2024,08/11/2024,1,153,291,1,1,1000001740,153
793,04/04/2024,07/04/2024,2,154,269,0,0,"",154
794,17/09/2024,21/09/2024,2,155,57,1,1,1000001742,155
795,27/06/2024,30/06/2024,3,156,225,0,0,"",156
796,25/06/2024,28/06/2024,1,157,27,1,1,1000001744,157
797,30/07/2024,09/08/2024,2,158,298,0,0,"",158
798,18/08/2024,30/08/2024,2,159,52,0,0,"",159
799,02/11/2024,11/11/2024,4,160,280,1,1,1000001747,160
800,27/01/2024,11/02/2024,1,161,202,1,1,1000001748,161
801,11/06/2024,30/06/2024,2,162,54,1,1,1000001749,162
802,09/11/2024,23/11/2024,4,163,236,0,0,"",163
803,27/02/2024,09/03/2024,1,164,74,1,1,1000001751,164
804,23/05/2024,28/05/2024,1,165,35,0,0,"",165
805,19/12/2024,27/12/2024,1,166,244,0,0,"",166
806,26/09/2024,30/09/2024,3,167,81,0,0,"",167
807,25/08/2024,11/09/2024,4,168,247,1,1,1000001755,168
808,27/04/2024,11/05/2024,1,169,216,1,1,1000001756,169
809,04/04/2024,08/04/2024,2,170,295,0,0,"",170
810,24/04/2024,03/05/2024,4,171,269,1,1,1000001758,171
811,03/02/2024,10/02/2024,2,172,238,1,1,1000001759,172
812,03/04/2024,15/04/2024,3,173,180,0,0,"",173
813,05/06/2024,25/06/2024,4,174,60,1,1,1000001761,174
814,21/04/2024,09/05/2024,1,175,220,0,0,"",175
815,25/01/2024,04/02/2024,3,176,82,0,0,"",176
816,28/06/2024,02/07/2024,3,177,161,0,0,"",177
817,09/02/2024,22/02/2024,4,178,263,1,1,1000001765,178
818,10/09/2024,28/09/2024,3,179,258,1,1,1000001766,179
819,21/08/2024,30/08/2024,4,180,244,1,1,1000001767,180
820,15/10/2024,20/10/2024,3,181,235,1,1,1000001768,181
821,20/08/2024,03/09/2024,2,182,82,1,1,1000001769,182
822,28/08/2024,13/09/2024,1,183,2,0,0,"",183
823,10/07/2024,23/07/2024,3,184,107,1,1,1000001771,184
824,28/09/2024,02/10/2024,3,185,143,0,0,"",185
825,17/11/2024,28/11/2024,1,186,116,1,1,1000001773,186
826,18/07/2024,28/07/2024,2,187,261,0,0,"",187
827,28/06/2024,11/07/2024,4,188,79,1,1,1000001775,188
828,09/01/2024,17/01/2024,1,189,145,1,1,1000001776,189
829,20/02/2024,03/03/2024,2,190,37,0,0,"",190
830,16/05/2024,22/05/2024,3,191,157,1,1,1000001778,191
831,31/10/2024,13/11/2024,2,192,75,0,0,"",192
832,12/10/2024,29/10/2024,2,193,7,1,1,1000001780,193
833,09/06/2024,28/06/2024,3,194,230,1,1,1000001781,194
834,09/08/2024,14/08/2024,1,195,128,0,0,"",195
835,01/02/2024,14/02/2024,1,196,244,1,1,1000001783,196
836,19/09/2024,28/09/2024,3,197,218,1,1,1000001784,197
837,16/03/2024,02/04/2024,3,198,200,1,1,1000001785,198
838,04/01/2024,10/01/2024,3,199,289,1,1,1000001786,199
839,12/08/2024,29/08/2024,4,200,81,1,1,1000001787,200
840,18/07/2024,26/07/2024,3,201,154,1,1,1000001788,201
841,25/11/2024,30/11/2024,3,202,175,1,1,1000001789,202
842,25/10/2024,05/11/2024,4,203,14,1,1,1000001790,203
843,09/12/2024,27/12/2024,4,204,253,1,1,1000001791,204
844,02/08/2024,21/08/2024,2,205,226,0,0,"",205
845,04/07/2024,18/07/2024,2,206,299,0,0,"",206
846,23/07/2024,07/08/2024,3,207,278,0,0,"",207
847,16/06/2024,30/06/2024,2,208,121,0,0,"",208
848,15/02/2024,20/02/2024,3,209,122,1,1,1000001796,209
