IDHORARIO,DURACION,IDSERVICIO,FECHAINICIO,DIA,HORAINICIO,HORAFIN,FECHAFIN
187,,15,14/06/2017,,5,24,15/06/2017
188,,18,27/10/2017,,16,9,27/10/2017
189,,13,04/07/2017,,20,10,05/07/2017
190,,14,30/08/2017,,1,19,30/08/2017
191,,18,28/11/2017,,19,17,29/11/2017
192,,13,08/02/2017,,3,14,09/02/2017
193,,4,09/10/2017,,8,12,09/10/2017
194,,14,27/12/2017,,22,6,28/12/2017
195,,4,22/08/2017,,13,7,22/08/2017
196,,17,26/12/2017,,23,9,26/12/2017
197,,14,27/12/2017,,14,16,27/12/2017
198,,12,15/07/2017,,10,21,16/07/2017
199,,4,25/11/2017,,3,23,25/11/2017
200,,4,04/04/2017,,11,24,05/04/2017
201,,4,25/12/2017,,12,22,26/12/2017
202,,8,31/10/2017,,16,23,31/10/2017
203,,4,01/05/2017,,16,20,01/05/2017
204,,17,15/12/2017,,7,10,15/12/2017
205,,13,30/01/2017,,4,23,30/01/2017
206,,12,16/01/2017,,10,19,17/01/2017
207,,14,04/08/2017,,1,22,05/08/2017
208,,15,06/05/2017,,17,21,07/05/2017
209,,5,29/04/2017,,17,13,30/04/2017
210,,18,13/09/2017,,2,17,14/09/2017
211,,11,24/07/2017,,14,9,25/07/2017
212,,12,27/07/2017,,14,14,27/07/2017
213,,8,13/06/2017,,18,7,14/06/2017
214,,13,20/01/2017,,14,14,21/01/2017
215,,22,05/03/2017,,18,21,05/03/2017
216,,4,13/10/2017,,21,19,14/10/2017
217,,11,10/04/2017,,20,16,11/04/2017
218,,8,11/05/2017,,23,22,11/05/2017
219,,20,03/01/2017,,10,5,03/01/2017
220,,8,18/04/2017,,19,14,18/04/2017
221,,15,10/01/2017,,2,14,11/01/2017
222,,22,11/11/2017,,17,5,11/11/2017
223,,13,25/06/2017,,5,10,26/06/2017
224,,13,17/06/2017,,14,17,17/06/2017
225,,8,28/12/2017,,3,16,29/12/2017
226,,15,12/06/2017,,0,8,13/06/2017
227,,14,12/11/2017,,11,15,13/11/2017
228,,15,23/02/2017,,16,17,23/02/2017
229,,13,09/05/2017,,14,13,10/05/2017
230,,20,16/08/2017,,3,24,16/08/2017
231,,22,06/12/2017,,16,24,06/12/2017
232,,8,20/10/2017,,7,11,20/10/2017
233,,11,17/01/2017,,2,12,18/01/2017
234,,4,26/11/2017,,0,18,27/11/2017
235,,5,29/11/2017,,8,24,29/11/2017
236,,11,11/07/2017,,3,18,11/07/2017
237,,11,17/08/2017,,2,2,18/08/2017
238,,18,12/08/2017,,3,18,13/08/2017
239,,22,18/03/2017,,3,14,18/03/2017
240,,8,23/06/2017,,10,14,24/06/2017
241,,18,08/04/2017,,18,14,09/04/2017
242,,15,26/08/2017,,21,18,26/08/2017
243,,4,16/04/2017,,1,22,17/04/2017
244,,15,04/01/2017,,4,24,05/01/2017
245,,18,20/11/2017,,9,16,21/11/2017
246,,22,31/05/2017,,20,21,01/06/2017
247,,12,21/02/2017,,4,23,22/02/2017
248,,13,31/01/2017,,17,22,31/01/2017
249,,15,26/09/2017,,8,21,26/09/2017
250,,17,08/06/2017,,7,23,09/06/2017
251,,12,07/01/2017,,10,10,07/01/2017
252,,4,11/12/2017,,1,13,11/12/2017
253,,13,17/08/2017,,21,21,18/08/2017
254,,14,11/02/2017,,5,12,12/02/2017
255,,12,01/04/2017,,18,10,01/04/2017
256,,22,30/09/2017,,0,20,01/10/2017
257,,5,06/05/2017,,18,22,06/05/2017
258,,5,25/05/2017,,11,22,26/05/2017
259,,11,14/11/2017,,13,15,14/11/2017
260,,13,27/08/2017,,17,22,28/08/2017
261,,11,09/12/2017,,20,7,10/12/2017
262,,14,23/03/2017,,22,19,24/03/2017
263,,5,09/05/2017,,7,19,10/05/2017
264,,20,19/03/2017,,16,18,19/03/2017
265,,14,11/05/2017,,13,13,12/05/2017
266,,14,06/12/2017,,20,14,06/12/2017
267,,5,09/08/2017,,12,18,10/08/2017
268,,22,18/06/2017,,19,10,19/06/2017
269,,20,16/04/2017,,2,14,17/04/2017
270,,18,17/02/2017,,9,24,17/02/2017
271,,11,15/12/2017,,16,17,15/12/2017
272,,18,03/11/2017,,9,6,04/11/2017
273,,15,24/11/2017,,16,10,25/11/2017
274,,11,26/06/2017,,23,11,26/06/2017
275,,15,10/10/2017,,5,24,10/10/2017
276,,17,20/10/2017,,2,24,20/10/2017
277,,14,31/03/2017,,22,17,31/03/2017
278,,4,15/11/2017,,4,18,16/11/2017
279,,17,06/06/2017,,22,19,07/06/2017
280,,22,29/01/2017,,11,17,29/01/2017
281,,17,15/01/2017,,20,9,16/01/2017
282,,14,09/03/2017,,16,23,10/03/2017
283,,12,16/03/2017,,0,11,16/03/2017
284,,15,16/02/2017,,19,24,16/02/2017
285,,8,07/07/2017,,17,16,07/07/2017
286,,5,14/04/2017,,17,12,14/04/2017
287,,13,08/04/2017,,3,23,08/04/2017
288,,15,08/10/2017,,6,23,08/10/2017
289,,20,19/03/2017,,19,21,20/03/2017
290,,8,28/06/2017,,0,24,29/06/2017
291,,17,14/08/2017,,21,14,15/08/2017
292,,12,11/01/2017,,21,24,11/01/2017
293,,5,01/02/2017,,20,24,01/02/2017
294,,12,14/09/2017,,9,17,15/09/2017
295,,12,17/01/2017,,16,8,17/01/2017
296,,13,01/04/2017,,17,13,01/04/2017
297,,18,04/05/2017,,7,11,04/05/2017
298,,17,29/07/2017,,9,22,30/07/2017
299,,14,19/08/2017,,13,22,20/08/2017
300,,8,03/02/2017,,20,24,03/02/2017
301,,20,15/10/2017,,10,3,15/10/2017
302,,5,15/07/2017,,14,17,16/07/2017
303,,4,24/04/2017,,9,23,24/04/2017
304,,12,13/02/2017,,9,20,14/02/2017
305,,20,28/08/2017,,1,21,29/08/2017
306,,15,19/02/2017,,9,22,20/02/2017
307,,20,02/08/2017,,3,4,02/08/2017
308,,5,25/06/2017,,11,23,25/06/2017
309,,4,17/03/2017,,20,9,17/03/2017
310,,22,02/04/2017,,17,17,02/04/2017
311,,5,18/01/2017,,17,24,18/01/2017
312,,15,02/01/2018,,23,12,03/01/2018
313,,13,11/07/2017,,11,24,12/07/2017
314,,5,30/11/2017,,14,24,01/12/2017
315,,17,07/10/2017,,21,24,08/10/2017
316,,22,09/12/2017,,17,18,10/12/2017
317,,20,14/10/2017,,3,22,14/10/2017
318,,17,30/04/2017,,10,9,01/05/2017
319,,8,25/01/2017,,12,21,25/01/2017
320,,8,16/10/2017,,7,17,16/10/2017
321,,18,27/09/2017,,21,3,28/09/2017
322,,11,03/08/2017,,2,19,03/08/2017
323,,4,27/08/2017,,1,23,28/08/2017
324,,5,18/09/2017,,5,23,18/09/2017
325,,8,10/11/2017,,17,23,11/11/2017
326,,20,12/02/2017,,19,21,13/02/2017
327,,17,15/03/2017,,2,22,15/03/2017
328,,11,10/02/2017,,23,16,11/02/2017
329,,17,15/05/2017,,14,16,16/05/2017
330,,17,24/09/2017,,11,23,25/09/2017
331,,8,27/03/2017,,19,23,27/03/2017
332,,8,02/10/2017,,3,24,02/10/2017
333,,11,02/12/2017,,13,16,02/12/2017
334,,13,22/11/2017,,23,22,22/11/2017
335,,15,07/01/2018,,8,15,07/01/2018
336,,14,04/09/2017,,13,23,05/09/2017
337,,4,23/05/2017,,11,18,23/05/2017
338,,12,22/05/2017,,9,24,23/05/2017
339,,12,19/12/2017,,7,24,19/12/2017
340,,12,18/12/2017,,0,22,18/12/2017
341,,13,12/08/2017,,16,11,13/08/2017
342,,8,02/02/2017,,19,23,03/02/2017
343,,8,21/01/2017,,3,17,21/01/2017
344,,17,01/07/2017,,23,18,02/07/2017
345,,20,16/01/2017,,10,22,16/01/2017
346,,18,26/11/2017,,13,16,27/11/2017
347,,12,04/11/2017,,18,18,04/11/2017
348,,17,04/12/2017,,13,12,04/12/2017
349,,12,18/02/2017,,19,16,19/02/2017
350,,14,04/09/2017,,15,11,05/09/2017
351,,15,15/11/2017,,22,23,16/11/2017
352,,13,04/03/2017,,9,21,05/03/2017
353,,14,28/02/2017,,11,22,01/03/2017
354,,15,25/03/2017,,23,20,26/03/2017
355,,14,28/02/2017,,23,10,01/03/2017
356,,8,17/04/2017,,13,22,18/04/2017
357,,20,15/09/2017,,0,22,15/09/2017
358,,14,17/05/2017,,12,22,17/05/2017
359,,11,18/07/2017,,8,23,18/07/2017
360,,13,02/08/2017,,2,21,02/08/2017
361,,14,15/12/2017,,19,21,16/12/2017
362,,17,23/08/2017,,15,18,24/08/2017
363,,18,05/01/2017,,17,24,05/01/2017
364,,11,14/05/2017,,1,21,15/05/2017
365,,15,03/06/2017,,21,21,04/06/2017
366,,20,29/08/2017,,13,4,29/08/2017
367,,5,24/04/2017,,15,14,25/04/2017
368,,17,02/02/2017,,19,21,02/02/2017
369,,15,09/01/2017,,8,24,10/01/2017
370,,20,22/02/2017,,7,24,23/02/2017
371,,5,07/10/2017,,4,24,07/10/2017
372,,12,09/06/2017,,14,17,10/06/2017
373,,12,01/01/2018,,6,9,01/01/2018
374,,20,11/10/2017,,7,22,12/10/2017
375,,13,21/12/2017,,12,22,22/12/2017
376,,22,15/12/2017,,3,22,16/12/2017
377,,12,12/03/2017,,9,21,13/03/2017
378,,17,27/03/2017,,21,24,28/03/2017
379,,8,05/12/2017,,11,16,05/12/2017
380,,20,21/07/2017,,1,20,21/07/2017
381,,14,16/10/2017,,17,10,17/10/2017
382,,12,10/12/2017,,5,14,11/12/2017
383,,17,02/08/2017,,11,11,03/08/2017
384,,5,19/04/2017,,18,24,19/04/2017
385,,11,26/08/2017,,16,20,27/08/2017
386,,18,11/01/2017,,2,19,11/01/2017
387,,22,13/07/2017,,8,23,14/07/2017
388,,4,29/05/2017,,13,23,29/05/2017
389,,11,11/09/2017,,22,23,11/09/2017
390,,14,26/07/2017,,12,18,27/07/2017
391,,17,22/09/2017,,3,18,22/09/2017
392,,4,14/07/2017,,4,14,14/07/2017
393,,5,07/11/2017,,11,21,07/11/2017
394,,22,05/02/2017,,11,18,06/02/2017
395,,8,16/04/2017,,8,21,17/04/2017
396,,11,22/03/2017,,9,11,23/03/2017
397,,17,15/05/2017,,22,21,15/05/2017
398,,11,01/08/2017,,9,10,02/08/2017
399,,17,25/07/2017,,18,18,26/07/2017
400,,11,18/09/2017,,15,23,18/09/2017
401,,11,10/05/2017,,9,24,11/05/2017
402,,22,27/01/2017,,11,24,27/01/2017
403,,22,13/07/2017,,22,17,13/07/2017
404,,18,06/01/2017,,14,20,06/01/2017
405,,22,28/07/2017,,5,24,29/07/2017
406,,20,10/08/2017,,10,20,11/08/2017
407,,5,13/05/2017,,2,22,13/05/2017
408,,13,27/04/2017,,0,23,27/04/2017
409,,12,11/05/2017,,10,22,11/05/2017
410,,5,14/12/2017,,13,7,14/12/2017
411,,11,21/02/2017,,13,20,22/02/2017
412,,5,03/01/2018,,5,23,04/01/2018
413,,18,12/03/2017,,19,22,13/03/2017
414,,20,13/08/2017,,9,20,13/08/2017
415,,22,04/02/2017,,4,22,05/02/2017
416,,11,10/02/2017,,14,23,11/02/2017
417,,18,19/07/2017,,3,16,20/07/2017
418,,14,22/02/2017,,14,18,23/02/2017
419,,22,19/05/2017,,2,21,19/05/2017
420,,18,06/07/2017,,20,6,07/07/2017
421,,20,03/09/2017,,5,18,04/09/2017
422,,5,30/12/2017,,20,0,30/12/2017
423,,11,22/05/2017,,23,13,22/05/2017
424,,5,03/09/2017,,3,14,03/09/2017
425,,12,10/12/2017,,8,18,10/12/2017
426,,13,16/10/2017,,0,22,16/10/2017
427,,20,30/10/2017,,18,16,30/10/2017
428,,17,17/07/2017,,21,11,17/07/2017
429,,14,19/08/2017,,16,20,20/08/2017
430,,5,14/03/2017,,4,24,14/03/2017
431,,8,26/10/2017,,17,19,26/10/2017
432,,8,20/02/2017,,13,7,21/02/2017
433,,17,16/06/2017,,8,4,16/06/2017
434,,14,24/04/2017,,22,12,24/04/2017
435,,11,07/05/2017,,7,9,07/05/2017
436,,8,28/09/2017,,16,6,29/09/2017
437,,11,09/05/2017,,7,24,10/05/2017
438,,13,14/11/2017,,4,5,14/11/2017
439,,20,18/04/2017,,5,24,18/04/2017
440,,18,11/09/2017,,0,9,12/09/2017
441,,20,27/02/2017,,6,7,28/02/2017
442,,12,25/01/2017,,22,21,25/01/2017
443,,14,18/02/2017,,9,6,19/02/2017
444,,22,26/03/2017,,18,21,26/03/2017
445,,5,02/04/2017,,18,24,02/04/2017
446,,11,19/09/2017,,2,20,19/09/2017
447,,14,26/02/2017,,5,23,27/02/2017
448,,17,27/09/2017,,8,21,27/09/2017
449,,15,18/06/2017,,1,24,19/06/2017
450,,12,29/12/2017,,2,10,30/12/2017
451,,4,25/07/2017,,7,21,26/07/2017
452,,4,24/09/2017,,21,23,25/09/2017
453,,22,14/12/2017,,6,15,15/12/2017
454,,15,18/08/2017,,4,23,18/08/2017
455,,8,03/02/2017,,22,23,04/02/2017
456,,11,18/06/2017,,11,24,19/06/2017
457,,5,25/10/2017,,1,23,26/10/2017
458,,15,13/03/2017,,15,23,14/03/2017
459,,14,09/05/2017,,13,24,10/05/2017
460,,5,05/08/2017,,9,23,05/08/2017
461,,13,23/07/2017,,16,24,23/07/2017
462,,22,28/03/2017,,19,18,28/03/2017
463,,12,30/10/2017,,13,12,30/10/2017
464,,11,15/07/2017,,6,24,16/07/2017
465,,20,01/01/2018,,16,19,01/01/2018
466,,22,23/12/2017,,10,22,23/12/2017
467,,12,31/12/2017,,6,24,01/01/2018
468,,5,12/01/2017,,17,15,13/01/2017
469,,14,23/07/2017,,21,19,24/07/2017
470,,5,25/01/2017,,15,18,25/01/2017
471,,14,04/12/2017,,8,6,04/12/2017
472,,22,31/10/2017,,1,6,31/10/2017
473,,18,21/06/2017,,0,11,22/06/2017
474,,13,15/11/2017,,0,5,15/11/2017
475,,15,26/03/2017,,16,17,27/03/2017
476,,13,02/11/2017,,3,23,02/11/2017
477,,8,13/07/2017,,19,23,14/07/2017
478,,4,14/06/2017,,6,15,15/06/2017
479,,11,30/12/2017,,3,2,31/12/2017
480,,12,01/02/2017,,2,23,01/02/2017
481,,15,14/02/2017,,10,17,15/02/2017
482,,20,11/05/2017,,2,13,11/05/2017
483,,12,27/01/2017,,13,22,27/01/2017
484,,22,25/12/2017,,1,19,25/12/2017
485,,5,04/01/2017,,9,20,05/01/2017
486,,22,16/03/2017,,18,20,17/03/2017
487,,11,26/09/2017,,17,24,26/09/2017
488,,20,09/02/2017,,2,22,09/02/2017
489,,8,16/10/2017,,13,10,16/10/2017
490,,22,23/07/2017,,3,19,24/07/2017
491,,15,12/03/2017,,4,21,13/03/2017
492,,5,28/03/2017,,3,20,29/03/2017
493,,15,21/05/2017,,12,23,22/05/2017
494,,5,28/12/2017,,3,21,28/12/2017
495,,12,01/09/2017,,10,23,01/09/2017
496,,12,12/03/2017,,23,15,13/03/2017
497,,18,28/12/2017,,6,24,29/12/2017
498,,13,17/02/2017,,7,21,18/02/2017
499,,11,04/03/2017,,22,7,04/03/2017
500,,22,23/04/2017,,10,22,23/04/2017
501,,11,23/11/2017,,2,7,23/11/2017
502,,14,16/10/2017,,5,19,17/10/2017
503,,11,18/05/2017,,7,23,19/05/2017
504,,4,21/11/2017,,16,19,21/11/2017
505,,18,20/10/2017,,4,20,21/10/2017
506,,14,09/03/2017,,16,20,09/03/2017
507,,22,07/06/2017,,20,22,08/06/2017
508,,12,04/12/2017,,1,24,05/12/2017
509,,14,22/07/2017,,23,22,23/07/2017
510,,17,05/08/2017,,7,19,06/08/2017
511,,4,14/05/2017,,7,23,14/05/2017
512,,11,23/12/2017,,6,15,24/12/2017
513,,13,05/05/2017,,9,17,06/05/2017
514,,12,06/04/2017,,7,23,06/04/2017
515,,4,08/03/2017,,1,22,08/03/2017
516,,5,24/09/2017,,7,19,25/09/2017
517,,8,15/04/2017,,7,16,15/04/2017
518,,18,03/10/2017,,8,19,03/10/2017
519,,20,19/09/2017,,7,19,19/09/2017
520,,20,26/04/2017,,17,7,26/04/2017
521,,22,15/07/2017,,12,18,15/07/2017
522,,11,09/09/2017,,0,18,10/09/2017
523,,8,08/04/2017,,7,23,09/04/2017
524,,15,21/02/2017,,7,22,21/02/2017
525,,14,26/03/2017,,3,22,26/03/2017
526,,11,15/06/2017,,22,20,16/06/2017
527,,15,25/08/2017,,1,22,26/08/2017
528,,22,03/02/2017,,5,24,04/02/2017
529,,5,29/07/2017,,15,14,29/07/2017
530,,15,02/05/2017,,16,14,02/05/2017
531,,18,10/06/2017,,7,19,10/06/2017
532,,4,07/07/2017,,21,22,07/07/2017
533,,17,06/12/2017,,3,19,06/12/2017
534,,15,08/08/2017,,11,14,09/08/2017
535,,17,25/03/2017,,8,24,26/03/2017
536,,20,01/08/2017,,15,14,02/08/2017
537,,17,25/09/2017,,17,7,26/09/2017
538,,18,30/09/2017,,10,16,30/09/2017
539,,11,10/07/2017,,15,22,10/07/2017
540,,14,25/11/2017,,12,21,26/11/2017
541,,17,15/01/2017,,10,20,16/01/2017
542,,13,06/08/2017,,22,15,06/08/2017
543,,5,17/05/2017,,9,1,18/05/2017
544,,17,23/08/2017,,12,24,23/08/2017
545,,8,27/05/2017,,2,18,27/05/2017
546,,8,28/01/2017,,18,19,28/01/2017
547,,17,27/12/2017,,0,20,27/12/2017
548,,18,02/11/2017,,20,5,02/11/2017
549,,4,12/03/2017,,17,23,12/03/2017
550,,4,14/01/2017,,19,22,14/01/2017
551,,18,24/10/2017,,9,15,24/10/2017
552,,13,12/03/2017,,21,13,12/03/2017
553,,4,02/04/2017,,6,23,02/04/2017
554,,18,24/02/2017,,17,10,24/02/2017
555,,8,29/12/2017,,20,16,30/12/2017
556,,20,25/05/2017,,13,16,25/05/2017
557,,4,22/10/2017,,6,10,22/10/2017
558,,8,13/07/2017,,10,14,14/07/2017
559,,17,22/10/2017,,6,4,22/10/2017
560,,12,23/07/2017,,3,21,24/07/2017
561,,5,07/09/2017,,2,17,08/09/2017
562,,15,01/11/2017,,20,13,02/11/2017
563,,4,25/05/2017,,6,23,25/05/2017
564,,15,13/11/2017,,23,8,14/11/2017
565,,14,07/11/2017,,11,20,08/11/2017
566,,8,23/11/2017,,23,10,23/11/2017
567,,12,08/02/2017,,16,24,08/02/2017
568,,8,01/03/2017,,14,15,01/03/2017
569,,20,15/08/2017,,16,21,16/08/2017
570,,13,25/12/2017,,19,23,26/12/2017
571,,15,14/03/2017,,12,24,15/03/2017
572,,17,13/05/2017,,16,20,14/05/2017
573,,12,13/04/2017,,15,23,14/04/2017
574,,8,09/12/2017,,19,23,10/12/2017
575,,18,29/07/2017,,11,23,29/07/2017
576,,17,13/04/2017,,4,22,13/04/2017
577,,12,22/03/2017,,5,24,22/03/2017
578,,11,07/05/2017,,11,18,07/05/2017
579,,12,25/12/2017,,18,20,26/12/2017
580,,12,04/06/2017,,6,12,04/06/2017
581,,8,07/10/2017,,8,6,07/10/2017
582,,4,31/07/2017,,15,24,31/07/2017
583,,18,24/06/2017,,20,17,24/06/2017
584,,12,14/08/2017,,6,15,15/08/2017
585,,8,07/11/2017,,12,12,07/11/2017
586,,4,21/03/2017,,22,18,22/03/2017
587,,5,11/02/2017,,3,22,12/02/2017
588,,13,11/06/2017,,1,23,12/06/2017
589,,17,20/01/2017,,16,22,21/01/2017
590,,18,06/05/2017,,10,22,07/05/2017
591,,8,18/07/2017,,15,18,18/07/2017
592,,18,11/11/2017,,6,21,11/11/2017
593,,22,25/08/2017,,17,19,26/08/2017
594,,8,28/01/2017,,4,19,29/01/2017
595,,11,29/10/2017,,17,23,30/10/2017
596,,18,12/12/2017,,14,24,13/12/2017
597,,5,07/08/2017,,11,20,08/08/2017
598,,13,19/06/2017,,0,24,20/06/2017
599,,11,17/10/2017,,5,22,18/10/2017
600,,22,20/05/2017,,16,4,21/05/2017
601,,20,05/03/2017,,19,21,06/03/2017
602,,20,17/07/2017,,18,21,18/07/2017
603,,8,22/09/2017,,9,22,22/09/2017
604,,11,02/04/2017,,15,23,02/04/2017
605,,22,19/07/2017,,4,24,19/07/2017
606,,14,17/12/2017,,18,23,18/12/2017
607,,11,13/04/2017,,0,18,13/04/2017
608,,13,19/06/2017,,17,22,20/06/2017
609,,17,31/01/2017,,11,22,01/02/2017
610,,5,03/09/2017,,17,23,03/09/2017
611,,17,21/07/2017,,16,17,22/07/2017
612,,20,25/01/2017,,12,15,25/01/2017
613,,12,13/09/2017,,5,19,13/09/2017
