NUMRESERVA,IDESTADIA,IDSERVICIO,IDHORARIO,IDCONSUMO,IDCONVENCION,CAPACIDAD
92664,91465,22,92694,,,3
92665,91466,22,92695,15,,2
92666,91467,22,92696,,,2
92667,91468,11,92697,,,2
92668,91469,12,92698,15,,2
92669,91470,4,92699,,,3
92670,91471,11,92700,,,2
92671,91472,5,92701,,,1
92672,91473,4,92702,,,4
92673,91474,20,92703,,,4
92674,91475,20,92704,,,2
92675,91476,18,92705,,,1
92676,91477,15,92706,,,3
92677,91478,8,92707,,,1
92678,91479,18,92708,,,1
92679,91480,15,92709,,,4
92680,91481,6,92710,,,4
92681,91482,15,92711,,,3
92682,91483,14,92712,,,4
92683,91484,11,92713,,,1
92684,91485,17,92714,,,3
92685,91486,14,92715,,,3
92686,91487,12,92716,,,4
92687,91488,8,92717,,,3
92688,91489,6,92718,,,2
92689,91490,4,92719,,,4
92690,91491,11,92720,,,4
92691,91492,15,92721,,,1
92692,91493,17,92722,,,3
92693,91494,13,92723,,,4
92694,91495,6,92724,,,2
92695,91496,4,92725,,,1
92696,91497,5,92726,,,4
92697,91498,18,92727,,,4
92698,91499,4,92728,,,2
92699,91500,13,92729,,,2
92700,91501,4,92730,,,4
92701,91502,8,92731,,,1
92702,91503,22,92732,,,4
92703,91504,20,92733,,,2
92704,91505,8,92734,,,1
92705,91506,17,92735,,,4
92706,91507,11,92736,,,3
92707,91508,12,92737,,,1
92708,91509,13,92738,,,2
92709,91510,4,92739,,,2
92710,91511,4,92740,,,3
92711,91512,4,92741,,,2
92712,91513,18,92742,,,4
92713,91514,20,92743,,,1
92714,91515,15,92744,16,,2
92715,91516,14,92745,,,4
92716,91517,4,92746,,,3
92717,91518,5,92747,,,4
92718,91519,20,92748,,,1
92719,91520,6,92749,,,1
92720,91521,22,92750,,,1
92721,91522,20,92751,,,1
92722,91523,4,92752,,,1
92723,91524,17,92753,,,4
92724,91525,22,92754,,,4
92725,91526,4,92755,,,3
92726,91527,18,92756,,,1
92727,91528,5,92757,,,4
92728,91529,14,92758,,,2
92729,91530,13,92759,,,2
92730,91531,12,92760,,,1
92731,91532,5,92761,,,4
92732,91533,4,92762,,,2
92733,91534,8,92763,,,1
92734,91535,15,92764,,,1
92735,91536,6,92765,,,3
92736,91537,5,92766,,,1
92737,91538,5,92767,,,3
92738,91539,22,92768,,,1
92739,91540,20,92769,,,2
92740,91541,17,92770,,,4
92741,91542,20,92771,,,1
92742,91543,5,92772,,,1
92743,91544,18,92773,,,1
92744,91545,11,92774,,,4
92745,91546,6,92775,,,2
92746,91547,18,92776,,,3
92747,91548,14,92777,,,4
92748,91549,12,92778,15,,4
92749,91550,12,92779,,,2
92750,91551,17,92780,,,4
92751,91552,4,92781,,,3
92752,91553,14,92782,,,4
92753,91554,22,92783,,,3
92754,91555,22,92784,,,3
92755,91556,6,92785,,,4
92756,91557,22,92786,,,2
92757,91558,13,92787,,,2
92758,91559,11,92788,,,1
92759,91560,17,92789,,,4
92760,91561,17,92790,,,1
92761,91562,17,92791,,,4
92762,91563,17,92792,,,4
92763,91564,15,92793,,,4
92764,91565,6,92794,,,3
92765,91566,8,92795,,,2
92766,91567,5,92796,,,2
92767,91568,18,92797,,,3
92768,91569,18,92798,16,,4
92769,91570,14,92799,,,4
92770,91571,12,92800,,,3
92771,91572,6,92801,,,3
92772,91573,4,92802,,,1
92773,91574,4,92803,,,3
92774,91575,20,92804,,,4
92775,91576,12,92805,,,3
92776,91577,18,92806,,,1
92777,91578,20,92807,,,3
92778,91579,12,92808,,,4
92779,91580,17,92809,,,1
92780,91581,13,92810,14,,3
92781,91582,6,92811,,,1
92782,91583,17,92812,,,1
92783,91584,20,92813,,,2
92784,91585,8,92814,14,,2
92785,91586,22,92815,,,4
92786,91587,22,92816,,,2
92787,91588,13,92817,16,,3
92788,91589,15,92818,,,1
92789,91590,13,92819,,,2
92790,91591,6,92820,,,2
92791,91592,5,92821,,,2
92792,91593,8,92822,,,4
92793,91594,14,92823,,,1
92794,91595,8,92824,,,2
92795,91596,8,92825,15,,3
92796,91597,15,92826,15,,4
92797,91598,8,92827,,,4
92798,91599,22,92828,14,,1
92799,91600,5,92829,,,4
92800,91601,6,92830,,,4
92801,91602,4,92831,,,1
92802,91603,22,92832,,,4
92803,91604,12,92833,,,3
92804,91605,11,92834,,,2
92805,91606,17,92835,,,2
92806,91607,15,92836,,,4
92807,91608,12,92837,,,4
92808,91609,4,92838,,,2
92809,91610,12,92839,,,4
92810,91611,14,92840,,,2
92811,91612,18,92841,,,3
92812,91613,20,92842,,,4
92813,91614,4,92843,,,3
92814,91615,4,92844,,,2
92815,91616,8,92845,,,4
92816,91617,6,92846,,,2
92817,91618,4,92847,,,1
92818,91619,14,92848,,,2
92819,91620,8,92849,,,1
92820,91621,20,92850,15,,1
92821,91622,17,92851,,,2
92822,91623,18,92852,,,3
92823,91624,17,92853,,,3
92824,91625,12,92854,,,1
92825,91626,15,92855,,,1
92826,91627,17,92856,,,3
92827,91628,12,92857,,,2
92828,91629,8,92858,,,3
92829,91630,18,92859,,,2
92830,91631,15,92860,,,1
92831,91632,20,92861,,,4
92832,91633,18,92862,,,4
92833,91634,5,92863,14,,4
92834,91635,20,92864,,,3
92835,91636,22,92865,,,4
92836,91637,14,92866,,,3
92837,91638,15,92867,,,1
92838,91639,22,92868,,,4
92839,91640,12,92869,,,2
92840,91641,22,92870,14,,3
92841,91642,8,92871,,,1
92842,91643,13,92872,,,1
92843,91644,11,92873,,,2
92844,91645,6,92874,,,2
92845,91646,6,92875,,,4
92846,91647,13,92876,,,2
92847,91648,11,92877,,,1
92848,91649,14,92878,,,2
92849,91650,4,92879,,,3
92850,91651,6,92880,,,4
92851,91652,22,92881,,,1
92852,91653,17,92882,,,2
92853,91654,13,92883,,,4
92854,91655,6,92884,15,,1
92855,91656,4,92885,,,1
92856,91657,13,92886,,,2
92857,91658,22,92887,,,2
92858,91659,13,92888,15,,4
92859,91660,22,92889,,,4
92860,91661,4,92890,,,3
92861,91662,15,92891,,,2
92862,91663,5,92892,,,3
92863,91664,5,92893,,,2
92864,91665,4,92894,,,2
92865,91666,12,92895,14,,3
92866,91667,17,92896,,,2
92867,91668,18,92897,,,4
92868,91669,15,92898,,,3
92869,91670,20,92899,,,2
92870,91671,12,92900,,,3
92871,91672,15,92901,,,2
92872,91673,15,92902,,,3
92873,91674,18,92903,,,1
92874,91675,8,92904,,,2
92875,91676,8,92905,,,1
92876,91677,14,92906,,,1
92877,91678,13,92907,,,1
92878,91679,12,92908,,,2
92879,91680,4,92909,,,1
92880,91681,11,92910,,,4
92881,91682,6,92911,,,3
92882,91683,17,92912,,,1
92883,91684,8,92913,,,2
92884,91685,17,92914,,,3
92885,91686,13,92915,,,1
92886,91687,20,92916,,,4
92887,91688,11,92917,,,2
92888,91689,4,92918,,,3
92889,91690,8,92919,,,1
92890,91691,12,92920,,,2
92891,91692,13,92921,,,4
92892,91693,17,92922,,,2
92893,91694,17,92923,,,3
92894,91695,18,92924,,,2
92895,91696,11,92925,,,2
92896,91697,17,92926,,,2
92897,91698,6,92927,,,2
92898,91699,18,92928,,,4
92899,91700,12,92929,,,3
92900,91701,17,92930,,,1
92901,91702,12,92931,,,2
92902,91703,5,92932,,,4
92903,91704,15,92933,,,3
92904,91705,15,92934,,,3
92905,91706,6,92935,,,1
92906,91707,15,92936,,,2
92907,91708,6,92937,,,2
92908,91709,8,92938,,,2
92909,91710,8,92939,,,2
92910,91711,5,92940,,,3
92911,91712,5,92941,,,2
92912,91713,11,92942,,,1
92913,91714,15,92943,,,2
92914,91715,6,92944,,,1
92915,91716,20,92945,,,2
92916,91717,8,92946,,,1
92917,91718,22,92947,,,1
92918,91719,20,92948,,,2
92919,91720,4,92949,,,4
92920,91721,13,92950,,,1
92921,91722,6,92951,14,,4
92922,91723,20,92952,,,2
92923,91724,20,92953,,,1
92924,91725,17,92954,,,3
92925,91726,6,92955,,,1
92926,91727,15,92956,,,2
92927,91728,15,92957,,,4
92928,91729,12,92958,16,,2
92929,91730,11,92959,,,2
92930,91731,20,92960,16,,2
92931,91732,6,92961,,,1
92932,91733,17,92962,,,2
92933,91734,6,92963,,,4
92934,91735,20,92964,15,,3
92935,91736,15,92965,,,1
92936,91737,11,92966,,,2
92937,91738,11,92967,,,4
92938,91739,5,92968,,,4
92939,91740,8,92969,,,2
92940,91741,11,92970,,,4
92941,91742,17,92971,,,2
92942,91743,6,92972,,,2
92943,91744,8,92973,,,2
92944,91745,8,92974,,,2
92945,91746,11,92975,,,4
92946,91747,14,92976,,,2
92947,91748,20,92977,,,4
92948,91749,18,92978,,,4
92949,91750,18,92979,,,2
92950,91751,17,92980,,,4
92951,91752,17,92981,,,4
92952,91753,11,92982,,,4
92953,91754,13,92983,,,2
92954,91755,14,92984,,,4
92955,91756,12,92985,,,1
92956,91757,5,92986,,,3
92957,91758,13,92987,,,3
92958,91759,17,92988,,,3
92959,91760,8,92989,15,,4
92960,91761,11,92990,,,3
92961,91762,12,92991,,,2
92962,91763,20,92992,,,2
92963,91764,14,92993,,,2
92964,91765,6,92994,,,4
92965,91766,4,92995,,,3
92966,91767,22,92996,,,1
92967,91768,15,92997,,,4
92968,91769,11,92998,,,4
92969,91770,11,92999,,,1
92970,91771,4,93000,,,1
92971,91772,15,93001,,,2
92972,91773,18,93002,,,4
92973,91774,22,93003,,,4
92974,91775,8,93004,,,3
92975,91776,13,93005,,,4
92976,91777,8,93006,14,,1
92977,91778,22,93007,,,1
92978,91779,8,93008,,,3
92979,91780,11,93009,14,,3
92980,91781,4,93010,,,4
92981,91782,12,93011,,,1
92982,91783,13,93012,,,3
92983,91784,11,93013,,,3
92984,91785,14,93014,,,4
92985,91786,22,93015,,,3
92986,91787,17,93016,,,3
92987,91788,17,93017,,,1
92988,91789,4,93018,,,4
92989,91790,17,93019,,,1
92990,91791,8,93020,,,3
92991,91792,8,93021,,,4
92992,91793,15,93022,,,4
92993,91794,17,93023,,,3
92994,91795,22,93024,16,,1
92995,91796,12,93025,,,1
92996,91797,5,93026,,,4
92997,91798,20,93027,,,3
92998,91799,11,93028,,,1
92999,91800,22,93029,,,2
93000,91801,12,93030,,,4
93001,91802,13,93031,,,1
93002,91803,18,93032,,,4
93003,91804,4,93033,,,1
93004,91805,15,93034,,,2
93005,91806,5,93035,,,4
93006,91807,14,93036,,,1
93007,91808,15,93037,,,3
93008,91809,18,93038,,,1
93009,91810,17,93039,15,,1
93010,91811,12,93040,,,4
93011,91812,15,93041,,,4
93012,91813,14,93042,,,1
93013,91814,8,93043,,,4
93014,91815,4,93044,,,4
93015,91816,6,93045,,,3
93016,91817,22,93046,,,2
93017,91818,6,93047,,,4
93018,91819,6,93048,,,2
93019,91820,4,93049,,,4
93020,91821,8,93050,,,2
93021,91822,22,93051,,,3
93022,91823,20,93052,,,3
93023,91824,8,93053,,,3
93024,91825,5,93054,,,3
93025,91826,4,93055,,,2
93026,91827,12,93056,,,1
93027,91828,20,93057,,,4
93028,91829,12,93058,,,3
93029,91830,22,93059,,,3
93030,91831,12,93060,,,2
93031,91832,4,93061,,,3
93032,91833,13,93062,,,2
93033,91834,14,93063,,,3
93034,91835,6,93064,,,1
93035,91836,11,93065,,,3
93036,91837,14,93066,,,4
93037,91838,11,93067,,,1
93038,91839,15,93068,,,2
93039,91840,20,93069,,,3
93040,91841,17,93070,,,1
93041,91842,4,93071,,,1
93042,91843,15,93072,,,4
93043,91844,22,93073,,,3
93044,91845,13,93074,,,4
93045,91846,22,93075,,,2
93046,91847,13,93076,,,4
93047,91848,22,93077,14,,1
93048,91849,15,93078,,,3
93049,91850,22,93079,15,,3
93050,91851,17,93080,,,4
93051,91852,11,93081,,,3
93052,91853,22,93082,,,1
93053,91854,6,93083,,,4
93054,91855,18,93084,,,2
93055,91856,5,93085,,,1
93056,91857,18,93086,,,4
93057,91858,20,93087,,,3
93058,91859,18,93088,,,2
93059,91860,13,93089,,,3
93060,91861,22,93090,,,3
93061,91862,4,93091,,,2
93062,91863,12,93092,,,3
93063,91864,14,93093,,,2
93064,91865,17,93094,,,2
93065,91866,8,93095,,,4
93066,91867,4,93096,,,2
93067,91868,6,93097,,,1
93068,91869,13,93098,,,4
93069,91870,12,93099,,,2
93070,91871,14,93100,15,,4
93071,91872,14,93101,,,1
93072,91873,11,93102,,,4
93073,91874,22,93103,,,1
93074,91875,6,93104,,,4
93075,91876,17,93105,,,1
93076,91877,5,93106,,,1
93077,91878,8,93107,,,2
93078,91879,11,93108,,,1
93079,91880,18,93109,,,2
93080,91881,22,93110,,,2
93081,91882,12,93111,16,,3
93082,91883,4,93112,,,3
93083,91884,22,93113,,,4
93084,91885,18,93114,,,4
93085,91886,12,93115,,,2
93086,91887,18,93116,,,1
93087,91888,15,93117,,,2
93088,91889,22,93118,,,3
93089,91890,8,93119,,,4
93090,91891,4,93120,,,2
93091,91892,20,93121,,,1
93092,91893,20,93122,,,3
93093,91894,5,93123,,,1
93094,91895,17,93124,,,3
93095,91896,12,93125,,,4
93096,91897,4,93126,,,2
93097,91898,8,93127,,,4
93098,91899,15,93128,,,3
93099,91900,5,93129,,,4
93100,91901,8,93130,15,,4
93101,91902,20,93131,,,4
93102,91903,13,93132,,,4
93103,91904,11,93133,,,4
93104,91905,13,93134,,,3
93105,91906,17,93135,,,4
93106,91907,13,93136,,,1
93107,91908,18,93137,,,2
93108,91909,22,93138,,,1
93109,91910,8,93139,,,3
93110,91911,20,93140,,,1
93111,91912,18,93141,,,3
93112,91913,17,93142,14,,3
93113,91914,17,93143,,,4
93114,91915,22,93144,,,2
93115,91916,12,93145,,,4
93116,91917,11,93146,,,4
93117,91918,14,93147,16,,3
93118,91919,15,93148,,,2
93119,91920,12,93149,15,,3
93120,91921,12,93150,,,1
93121,91922,15,93151,,,2
93122,91923,20,93152,,,3
93123,91924,20,93153,,,4
93124,91925,20,93154,,,3
93125,91926,5,93155,,,1
93126,91927,13,93156,16,,3
93127,91928,6,93157,,,4
93128,91929,12,93158,,,2
93129,91930,18,93159,,,2
93130,91931,18,93160,,,2
93131,91932,20,93161,,,1
93132,91933,6,93162,,,2
93133,91934,14,93163,,,3
93134,91935,11,93164,,,4
93135,91936,18,93165,,,3
93136,91937,12,93166,15,,1
93137,91938,17,93167,,,1
93138,91939,11,93168,,,3
93139,91940,20,93169,,,1
93140,91941,22,93170,16,,3
93141,91942,13,93171,,,4
93142,91943,22,93172,,,4
93143,91944,11,93173,,,3
93144,91945,13,93174,,,3
93145,91946,8,93175,,,1
93146,91947,22,93176,,,1
93147,91948,5,93177,,,2
93148,91949,5,93178,,,1
93149,91950,18,93179,,,1
93150,91951,6,93180,,,2
93151,91952,13,93181,,,3
93152,91953,6,93182,,,2
93153,91954,4,93183,,,2
93154,91955,18,93184,,,3
93155,91956,17,93185,,,1
93156,91957,17,93186,,,1
93157,91958,11,93187,,,3
93158,91959,18,93188,,,3
93159,91960,11,93189,,,1
93160,91961,20,93190,,,1
93161,91962,14,93191,,,3
93162,91963,22,93192,,,3
93163,91964,18,93193,,,4
93164,91965,20,93194,,,3
93165,91966,4,93195,,,3
93166,91967,12,93196,,,4
93167,91968,13,93197,,,1
93168,91969,13,93198,,,3
93169,91970,6,93199,,,3
93170,91971,4,93200,,,2
93171,91972,5,93201,,,3
93172,91973,8,93202,,,1
93173,91974,15,93203,,,2
93174,91975,4,93204,14,,3
93175,91976,8,93205,,,1
93176,91977,15,93206,,,2
93177,91978,12,93207,,,2
93178,91979,6,93208,,,3
93179,91980,20,93209,,,2
93180,91981,17,93210,,,1
93181,91982,8,93211,,,3
93182,91983,18,93212,,,2
93183,91984,17,93213,,,1
93184,91985,13,93214,,,3
93185,91986,11,93215,,,3
93186,91987,17,93216,,,4
93187,91988,11,93217,,,4
93188,91989,11,93218,15,,1
93189,91990,6,93219,,,1
93190,91991,13,93220,,,2
93191,91992,22,93221,,,4
93192,91993,6,93222,,,4
93193,91994,8,93223,,,4
93194,91995,8,93224,14,,1
93195,91996,22,93225,,,4
93196,91997,8,93226,,,2
93197,91998,20,93227,,,4
93198,91999,12,93228,,,2
93199,92000,22,93229,,,4
93200,92001,13,93230,,,3
93201,92002,5,93231,,,4
93202,92003,8,93232,,,4
93203,92004,4,93233,,,2
93204,92005,20,93234,,,2
93205,92006,6,93235,,,2
93206,92007,15,93236,,,2
93207,92008,18,93237,,,2
93208,92009,8,93238,,,3
93209,92010,22,93239,,,1
93210,92011,14,93240,,,2
93211,92012,14,93241,,,3
93212,92013,4,93242,,,2
93213,92014,18,93243,,,3
93214,92015,13,93244,,,2
93215,92016,22,93245,,,3
93216,92017,14,93246,,,4
93217,92018,20,93247,15,,1
93218,92019,12,93248,,,3
93219,92020,18,93249,15,,4
93220,92021,17,93250,,,3
93221,92022,6,93251,,,4
93222,92023,22,93252,,,3
93223,92024,15,93253,16,,2
93224,92025,18,93254,,,4
93225,92026,11,93255,,,1
93226,92027,6,93256,,,3
93227,92028,17,93257,,,4
93228,92029,11,93258,,,3
93229,92030,4,93259,,,1
93230,92031,17,93260,,,3
93231,92032,22,93261,,,1
93232,92033,11,93262,,,2
93233,92034,20,93263,,,1
93234,92035,20,93264,,,1
93235,92036,14,93265,,,3
93236,92037,14,93266,,,2
93237,92038,6,93267,,,4
93238,92039,11,93268,,,3
93239,92040,4,93269,16,,2
93240,92041,6,93270,,,1
93241,92042,4,93271,,,3
93242,92043,14,93272,,,1
93243,92044,14,93273,,,3
93244,92045,20,93274,,,1
93245,92046,11,93275,,,3
93246,92047,20,93276,,,4
93247,92048,6,93277,15,,4
93248,92049,22,93278,,,4
93249,92050,15,93279,,,2
93250,92051,18,93280,,,3
93251,92052,12,93281,,,2
93252,92053,6,93282,,,1
93253,92054,15,93283,,,3
93254,92055,22,93284,,,4
93255,92056,8,93285,,,1
93256,92057,20,93286,,,3
93257,92058,5,93287,16,,4
93258,92059,15,93288,,,3
93259,92060,8,93289,,,2
93260,92061,13,93290,,,4
93261,92062,5,93291,,,3
93262,92063,18,93292,,,4
93263,92064,6,93293,,,1
93264,92065,11,93294,16,,3
93265,92066,22,93295,,,3
93266,92067,4,93296,,,4
93267,92068,6,93297,,,2
93268,92069,17,93298,,,2
93269,92070,18,93299,,,2
93270,92071,18,93300,16,,4
93271,92072,8,93301,,,4
93272,92073,22,93302,,,3
93273,92074,15,93303,,,3
93274,92075,11,93304,14,,4
93275,92076,22,93305,,,3
93276,92077,13,93306,,,3
93277,92078,20,93307,,,3
93278,92079,12,93308,,,1
93279,92080,20,93309,,,1
93280,92081,22,93310,,,2
93281,92082,22,93311,15,,2
93282,92083,22,93312,,,2
93283,92084,5,93313,,,1
93284,92085,5,93314,14,,3
93285,92086,14,93315,,,4
93286,92087,12,93316,,,2
93287,92088,15,93317,,,3
93288,92089,8,93318,,,1
93289,92090,22,93319,,,1
93290,92091,11,93320,,,4
93291,92092,6,93321,,,3
93292,92093,5,93322,,,1
93293,92094,20,93323,,,1
93294,92095,5,93324,,,1
93295,92096,11,93325,,,2
93296,92097,5,93326,,,2
93297,92098,11,93327,,,1
93298,92099,17,93328,,,2
93299,92100,20,93329,,,2
93300,92101,17,93330,,,3
93301,92102,14,93331,,,1
93302,92103,6,93332,,,1
93303,92104,12,93333,,,3
93304,92105,8,93334,,,1
93305,92106,15,93335,,,1
93306,92107,22,93336,,,2
93307,92108,13,93337,,,3
93308,92109,17,93338,,,4
93309,92110,8,93339,14,,4
93310,92111,17,93340,,,4
93311,92112,11,93341,,,2
93312,92113,17,93342,,,3
93313,92114,15,93343,,,3
93314,92115,5,93344,,,4
93315,92116,20,93345,,,2
93316,92117,12,93346,,,2
93317,92118,5,93347,,,1
93318,92119,12,93348,,,1
93319,92120,20,93349,,,4
93320,92121,8,93350,,,1
93321,92122,11,93351,,,4
93322,92123,12,93352,,,1
93323,92124,18,93353,,,3
93324,92125,15,93354,,,3
93325,92126,6,93355,16,,1
93326,92127,18,93356,15,,2
93327,92128,8,93357,14,,3
93328,92129,5,93358,,,4
93329,92130,17,93359,,,2
93330,92131,18,93360,,,1
93331,92132,4,93361,,,3
93332,92133,8,93362,,,4
93333,92134,13,93363,,,2
93334,92135,14,93364,,,4
93335,92136,14,93365,,,4
93336,92137,13,93366,,,3
93337,92138,11,93367,,,1
93338,92139,12,93368,16,,3
93339,92140,4,93369,,,4
93340,92141,18,93370,,,1
93341,92142,17,93371,,,2
93342,92143,11,93372,,,3
93343,92144,5,93373,,,3
93344,92145,8,93374,,,4
93345,92146,11,93375,,,4
93346,92147,12,93376,,,3
93347,92148,15,93377,,,2
93348,92149,15,93378,,,4
93349,92150,18,93379,,,2
93350,92151,11,93380,,,2
93351,92152,20,93381,,,2
93352,92153,6,93382,,,1
93353,92154,22,93383,,,2
93354,92155,8,93384,,,1
93355,92156,17,93385,,,4
93356,92157,18,93386,,,2
93357,92158,5,93387,,,4
93358,92159,18,93388,,,1
93359,92160,8,93389,15,,1
93360,92161,20,93390,,,1
93361,92162,12,93391,,,2
93362,92163,4,93392,,,1
93363,92164,12,93393,,,3
93364,92165,12,93394,,,3
93365,92166,14,93395,16,,3
93366,92167,5,93396,,,4
93367,92168,18,93397,,,2
93368,92169,22,93398,,,4
93369,92170,14,93399,,,1
93370,92171,4,93400,16,,1
93371,92172,12,93401,,,3
93372,92173,6,93402,15,,3
93373,92174,15,93403,,,3
93374,92175,5,93404,,,2
93375,92176,6,93405,15,,2
93376,92177,13,93406,,,4
93377,92178,13,93407,15,,4
93378,92179,12,93408,,,3
93379,92180,22,93409,,,4
93380,92181,8,93410,,,3
93381,92182,11,93411,,,1
93382,92183,18,93412,,,2
93383,92184,12,93413,,,1
93384,92185,6,93414,,,3
93385,92186,8,93415,,,2
93386,92187,17,93416,,,1
93387,92188,6,93417,,,3
93388,92189,13,93418,,,2
93389,92190,5,93419,,,3
93390,92191,14,93420,,,2
93391,92192,20,93421,,,2
93392,92193,15,93422,,,2
93393,92194,14,93423,,,4
93394,92195,13,93424,,,4
93395,92196,13,93425,,,1
93396,92197,6,93426,,,3
93397,92198,6,93427,,,1
93398,92199,22,93428,,,1
93399,92200,14,93429,,,1
93400,92201,4,93430,,,3
93401,92202,22,93431,,,2
93402,92203,13,93432,,,2
93403,92204,12,93433,,,2
93404,92205,12,93434,,,3
93405,92206,18,93435,15,,2
93406,92207,18,93436,,,3
93407,92208,14,93437,,,1
93408,92209,8,93438,,,2
93409,92210,11,93439,,,4
93410,92211,20,93440,15,,4
93411,92212,14,93441,,,3
93412,92213,18,93442,,,1
93413,92214,22,93443,,,1
93414,92215,18,93444,,,4
93415,92216,22,93445,,,4
93416,92217,22,93446,,,4
93417,92218,5,93447,,,3
93418,92219,12,93448,,,2
93419,92220,14,93449,,,1
93420,92221,22,93450,,,4
93421,92222,11,93451,,,1
93422,92223,4,93452,,,3
93423,92224,18,93453,,,3
93424,92225,5,93454,,,2
93425,92226,12,93455,,,2
93426,92227,15,93456,,,4
93427,92228,18,93457,,,4
93428,92229,4,93458,,,3
93429,92230,8,93459,,,3
93430,92231,15,93460,,,1
93431,92232,18,93461,,,2
93432,92233,6,93462,,,2
93433,92234,8,93463,,,2
93434,92235,6,93464,,,4
93435,92236,14,93465,16,,4
93436,92237,17,93466,15,,4
93437,92238,4,93467,,,4
93438,92239,8,93468,,,1
93439,92240,13,93469,,,4
93440,92241,4,93470,,,1
93441,92242,6,93471,16,,3
93442,92243,6,93472,,,4
93443,92244,15,93473,,,3
93444,92245,11,93474,,,2
93445,92246,11,93475,,,4
93446,92247,13,93476,,,1
93447,92248,22,93477,,,1
93448,92249,13,93478,,,3
93449,92250,18,93479,,,2
93450,92251,17,93480,,,1
93451,92252,8,93481,,,4
93452,92253,6,93482,,,3
93453,92254,22,93483,16,,4
93454,92255,6,93484,,,2
93455,92256,15,93485,15,,4
93456,92257,4,93486,,,2
93457,92258,18,93487,,,1
93458,92259,13,93488,,,3
93459,92260,14,93489,,,3
93460,92261,15,93490,,,3
93461,92262,22,93491,,,2
93462,92263,18,93492,15,,1
93463,92264,14,93493,,,1
93464,92265,13,93494,,,2
93465,92266,8,93495,,,4
93466,92267,5,93496,,,1
93467,92268,4,93497,,,4
93468,92269,4,93498,,,1
93469,92270,15,93499,,,4
93470,92271,15,93500,,,4
93471,92272,11,93501,16,,1
93472,92273,14,93502,,,4
93473,92274,6,93503,,,4
93474,92275,8,93504,,,3
93475,92276,4,93505,,,3
93476,92277,11,93506,,,2
93477,92278,22,93507,,,4
93478,92279,12,93508,,,1
93479,92280,17,93509,,,1
93480,92281,20,93510,,,3
93481,92282,14,93511,,,3
93482,92283,5,93512,,,2
93483,92284,6,93513,,,3
93484,92285,20,93514,,,2
93485,92286,22,93515,,,1
93486,92287,20,93516,,,1
93487,92288,17,93517,15,,3
93488,92289,18,93518,,,4
93489,92290,13,93519,,,4
93490,92291,4,93520,16,,2
93491,92292,15,93521,,,4
93492,92293,12,93522,,,1
93493,92294,20,93523,,,3
93494,92295,11,93524,,,4
93495,92296,4,93525,,,3
93496,92297,15,93526,,,4
93497,92298,14,93527,,,2
93498,92299,18,93528,,,4
93499,92300,6,93529,,,2
93500,92301,5,93530,,,3
93501,92302,22,93531,,,1
93502,92303,22,93532,,,2
93503,92304,6,93533,15,,2
93504,92305,22,93534,,,3
93505,92306,6,93535,,,2
93506,92307,6,93536,,,1
93507,92308,6,93537,,,1
93508,92309,15,93538,,,4
93509,92310,17,93539,,,3
93510,92311,11,93540,,,3
93511,92312,5,93541,,,4
93512,92313,5,93542,,,2
93513,92314,20,93543,,,2
93514,92315,8,93544,,,4
93515,92316,11,93545,,,1
93516,92317,17,93546,,,1
93517,92318,5,93547,,,4
93518,92319,20,93548,,,1
